OneBody1_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [54.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,54.000000,0.000000|0.001852,53.999934,0.100000,0.000093,0.000171,0.207020|0.001852,53.999934,0.100000,0.000093,0.000171,0.207020
  2|0.020010,53.992278,1.080537|0.021862,53.992079,1.180537,0.011608,0.021494,0.207022|0.021862,53.992079,1.180537,0.011608,0.021494,0.207022
  3|0.040020,53.969109,2.161013|0.041870,53.968778,2.261013,0.044748,0.082845,0.207028|0.041870,53.968778,2.261013,0.044747,0.082845,0.207030
  4|0.060030,53.930486,3.241365|0.061878,53.930023,3.341364,0.099521,0.184197,0.207038|0.061878,53.930023,3.341364,0.099521,0.184197,0.207043
  5|0.080041,53.876399,4.321531|0.081885,53.875804,4.421529,0.175942,0.325507,0.207051|0.081885,53.875805,4.421529,0.175942,0.325507,0.207061
  6|0.100051,53.806832,5.401448|0.101892,53.806106,5.501445,0.274033,0.506716,0.207069|0.101892,53.806106,5.501445,0.274032,0.506715,0.207084
  7|0.120061,53.721765,6.481052|0.121897,53.720908,6.581049,0.393819,0.727749,0.207091|0.121897,53.720908,6.581049,0.393819,0.727748,0.207112
  8|0.140071,53.621175,7.560281|0.141902,53.620186,7.660276,0.535336,0.988515,0.207116|0.141902,53.620187,7.660276,0.535335,0.988514,0.207145
  9|0.160081,53.505031,8.639068|0.161905,53.503912,8.739062,0.698621,1.288908,0.207145|0.161905,53.503913,8.739062,0.698620,1.288906,0.207183
 10|0.180091,53.373302,9.717349|0.181908,53.372052,9.817341,0.883721,1.628806,0.207179|0.181908,53.372054,9.817341,0.883719,1.628802,0.207226
 11|0.200101,53.225949,10.795055|0.201910,53.224569,10.895046,1.090688,2.008068,0.207216|0.201910,53.224572,10.895046,1.090685,2.008063,0.207275
 12|0.220112,53.062931,11.872119|0.221911,53.061422,11.972108,1.319578,2.426543,0.207257|0.221911,53.061426,11.972108,1.319575,2.426537,0.207328
 13|0.240122,52.884202,12.948471|0.241912,52.882564,13.048457,1.570458,2.884060,0.207302|0.241912,52.882569,13.048458,1.570453,2.884052,0.207385
 14|0.260132,52.689710,14.024038|0.261911,52.687945,14.124023,1.843396,3.380434,0.207350|0.261911,52.687950,14.124023,1.843390,3.380423,0.207448
 15|0.280142,52.479402,15.098749|0.281910,52.477509,15.198731,2.138469,3.915465,0.207403|0.281910,52.477516,15.198731,2.138462,3.915452,0.207516
 16|0.300152,52.253217,16.172526|0.301908,52.251197,16.272506,2.455760,4.488936,0.207459|0.301908,52.251206,16.272506,2.455751,4.488920,0.207588
 17|0.320162,52.011091,17.245294|0.321906,52.008946,17.345271,2.795357,5.100616,0.207519|0.321905,52.008957,17.345271,2.795347,5.100597,0.207665
 18|0.340172,51.752958,18.316972|0.341902,51.750688,18.416946,3.157355,5.750260,0.207583|0.341902,51.750700,18.416947,3.157342,5.750236,0.207746
 19|0.360183,51.478744,19.387478|0.361898,51.476350,19.487450,3.541854,6.437604,0.207651|0.361898,51.476364,19.487450,3.541839,6.437577,0.207832
 20|0.380193,51.188372,20.456728|0.381893,51.185855,20.556696,3.948961,7.162373,0.207722|0.381893,51.185873,20.556697,3.948944,7.162341,0.207923
 21|0.400203,50.881762,21.524634|0.401887,50.879124,21.624599,4.378790,7.924276,0.207797|0.401887,50.879144,21.624599,4.378769,7.924239,0.208018
 22|0.420213,50.558829,22.591105|0.421880,50.556070,22.691067,4.831457,8.723006,0.207876|0.421880,50.556092,22.691067,4.831433,8.722963,0.208117
 23|0.440223,50.219483,23.656048|0.441873,50.216604,23.756006,5.307089,9.558242,0.207958|0.441873,50.216630,23.756007,5.307062,9.558193,0.208220
 24|0.460233,49.863630,24.719366|0.461865,49.860632,24.819321,5.805816,10.429650,0.208044|0.461865,49.860662,24.819322,5.805784,10.429594,0.208328
 25|0.480243,49.491173,25.780958|0.481857,49.488058,25.880910,6.327773,11.336879,0.208134|0.481856,49.488091,25.880911,6.327738,11.336816,0.208440
 26|0.500254,49.102009,26.840721|0.501847,49.098778,26.940669,6.873105,12.279567,0.208227|0.501847,49.098815,26.940670,6.873065,12.279496,0.208556
 27|0.520264,48.696033,27.898546|0.521837,48.692686,27.998490,7.441957,13.257334,0.208324|0.521837,48.692728,27.998492,7.441912,13.257255,0.208675
 28|0.540274,48.273133,28.954322|0.541827,48.269673,29.054262,8.034485,14.269790,0.208424|0.541826,48.269720,29.054263,8.034435,14.269702,0.208799
 29|0.560284,47.833197,30.007931|0.561816,47.829624,30.107867,8.650848,15.316529,0.208527|0.561815,47.829676,30.107869,8.650792,15.316431,0.208926
 30|0.580294,47.376104,31.059253|0.581804,47.372421,31.159185,9.291210,16.397131,0.208635|0.581803,47.372478,31.159187,9.291148,16.397024,0.209057
 31|0.600304,46.901734,32.108161|0.601791,46.897942,32.208090,9.955742,17.511165,0.208745|0.601791,46.898004,32.208092,9.955674,17.511047,0.209192
 32|0.620314,46.409961,33.154527|0.621778,46.406060,33.254451,10.644621,18.658184,0.208859|0.621778,46.406128,33.254453,10.644546,18.658055,0.209329
 33|0.640325,45.900653,34.198213|0.641765,45.896646,34.298133,11.358028,19.837730,0.208976|0.641764,45.896720,34.298136,11.357946,19.837590,0.209471
 34|0.660335,45.373677,35.239079|0.661751,45.369566,35.338994,12.096149,21.049332,0.209097|0.661750,45.369647,35.338998,12.096059,21.049179,0.209615
 35|0.680345,44.828897,36.276977|0.681736,44.824682,36.376889,12.859177,22.292504,0.209221|0.681735,44.824770,36.376892,12.859079,22.292338,0.209762
 36|0.700355,44.266171,37.311756|0.701721,44.261855,37.411663,13.647307,23.566750,0.209348|0.701720,44.261949,37.411667,13.647201,23.566571,0.209913
 37|0.720365,43.685354,38.343256|0.721706,43.680938,38.443159,14.460744,24.871561,0.209478|0.721704,43.681040,38.443163,14.460628,24.871368,0.210066
 38|0.740375,43.086298,39.371313|0.741690,43.081784,39.471211,15.299692,26.206415,0.209611|0.741688,43.081894,39.471216,15.299567,26.206208,0.210222
 39|0.760385,42.468852,40.395754|0.761673,42.464242,40.495648,16.164364,27.570779,0.209747|0.761672,42.464360,40.495653,16.164229,27.570558,0.210381
 40|0.780396,41.832862,41.416401|0.781656,41.828157,41.516290,17.054975,28.964109,0.209887|0.781655,41.828283,41.516296,17.054830,28.963873,0.210542
 41|0.800406,41.178170,42.433069|0.801639,41.173372,42.532953,17.971746,30.385848,0.210029|0.801637,41.173507,42.532960,17.971590,30.385596,0.210705
 42|0.820416,40.504614,43.445563|0.821621,40.499726,43.545444,18.914901,31.835428,0.210174|0.821620,40.499869,43.545450,18.914735,31.835161,0.210871
 43|0.840426,39.812033,44.453684|0.841603,39.807055,44.553560,19.884669,33.312271,0.210323|0.841602,39.807208,44.553567,19.884491,33.311987,0.211039
