OneBody2_E-0.15_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [3.33,0.00,0.00,0.55] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,3.333333,0.000000,0.000000,0.000000
  2|0.003286,3.333315,0.010954,0.000018,0.000540
  3|0.006573,3.333261,0.021909,0.000072,0.002160
  4|0.009859,3.333171,0.032863,0.000162,0.004860
  5|0.013145,3.333045,0.043817,0.000288,0.008640
  6|0.016432,3.332883,0.054770,0.000450,0.013500
  7|0.019718,3.332685,0.065722,0.000648,0.019439
  8|0.023004,3.332451,0.076674,0.000882,0.026459
  9|0.026291,3.332181,0.087626,0.001152,0.034558
 10|0.029577,3.331875,0.098576,0.001458,0.043737
 11|0.032863,3.331533,0.109525,0.001800,0.053995
 12|0.036150,3.331156,0.120473,0.002178,0.065333
 13|0.039436,3.330742,0.131419,0.002592,0.077750
 14|0.042722,3.330292,0.142365,0.003042,0.091246
 15|0.046009,3.329806,0.153308,0.003527,0.105821
 16|0.049295,3.329284,0.164250,0.004049,0.121475
 17|0.052581,3.328726,0.175190,0.004607,0.138208
 18|0.055868,3.328133,0.186129,0.005201,0.156019
 19|0.059154,3.327503,0.197065,0.005830,0.174909
 20|0.062440,3.326837,0.207999,0.006496,0.194877
 21|0.065727,3.326136,0.218931,0.007197,0.215922
 22|0.069013,3.325398,0.229861,0.007935,0.238045
 23|0.072299,3.324625,0.240788,0.008708,0.261246
 24|0.075586,3.323816,0.251713,0.009517,0.285524
 25|0.078872,3.322971,0.262634,0.010363,0.310879
 26|0.082158,3.322090,0.273553,0.011244,0.337310
 27|0.085445,3.321173,0.284469,0.012161,0.364818
 28|0.088731,3.320220,0.295382,0.013113,0.393402
 29|0.092017,3.319231,0.306292,0.014102,0.423061
 30|0.095304,3.318207,0.317198,0.015127,0.453796
 31|0.098590,3.317146,0.328101,0.016187,0.485606
 32|0.101876,3.316050,0.339001,0.017283,0.518491
 33|0.105163,3.314918,0.349897,0.018415,0.552451
 34|0.108449,3.313751,0.360789,0.019583,0.587484
 35|0.111735,3.312547,0.371677,0.020786,0.623591
 36|0.115022,3.311308,0.382561,0.022026,0.660771
 37|0.118308,3.310033,0.393441,0.023301,0.699024
 38|0.121594,3.308722,0.404317,0.024612,0.738350
 39|0.124881,3.307375,0.415188,0.025958,0.778747
 40|0.128167,3.305993,0.426055,0.027341,0.820216
 41|0.131453,3.304575,0.436917,0.028759,0.862757
 42|0.134740,3.303121,0.447775,0.030212,0.906368
 43|0.138026,3.301632,0.458627,0.031702,0.951049
 44|0.141312,3.300107,0.469475,0.033227,0.996800
 45|0.144599,3.298546,0.480318,0.034787,1.043620
 46|0.147885,3.296950,0.491155,0.036384,1.091509
 47|0.151171,3.295318,0.501988,0.038016,1.140466
 48|0.154458,3.293650,0.512814,0.039683,1.190490
 49|0.157744,3.291947,0.523636,0.041386,1.241582
 50|0.161030,3.290209,0.534451,0.043125,1.293741
 51|0.164317,3.288434,0.545261,0.044899,1.346965
 52|0.167603,3.286625,0.556065,0.046709,1.401255
 53|0.170889,3.284780,0.566863,0.048554,1.456610
 54|0.174176,3.282899,0.577655,0.050434,1.513029
 55|0.177462,3.280983,0.588440,0.052350,1.570512
 56|0.180748,3.279031,0.599220,0.054302,1.629058
 57|0.184035,3.277044,0.609992,0.056289,1.688666
 58|0.187321,3.275022,0.620758,0.058311,1.749336
 59|0.190607,3.272964,0.631518,0.060369,1.811067
 60|0.193894,3.270871,0.642271,0.062462,1.873858
 61|0.197180,3.268743,0.653016,0.064590,1.937710
 62|0.200466,3.266579,0.663755,0.066754,2.002620
 63|0.203753,3.264380,0.674486,0.068953,2.068589
 64|0.207039,3.262146,0.685211,0.071187,2.135615
 65|0.210325,3.259877,0.695927,0.073457,2.203698
 66|0.213612,3.257572,0.706637,0.075761,2.272838
 67|0.216898,3.255232,0.717338,0.078101,2.343033
 68|0.220184,3.252857,0.728032,0.080476,2.414282
 69|0.223471,3.250447,0.738718,0.082886,2.486586
 70|0.226757,3.248002,0.749396,0.085331,2.559943
 71|0.230043,3.245522,0.760066,0.087812,2.634352
 72|0.233330,3.243006,0.770728,0.090327,2.709812
 73|0.236616,3.240456,0.781381,0.092877,2.786324
 74|0.239902,3.237871,0.792026,0.095463,2.863885
 75|0.243189,3.235250,0.802663,0.098083,2.942495
 76|0.246475,3.232595,0.813291,0.100738,3.022154
 77|0.249761,3.229905,0.823910,0.103429,3.102860
 78|0.253048,3.227180,0.834520,0.106154,3.184612
 79|0.256334,3.224420,0.845121,0.108914,3.267410
 80|0.259620,3.221625,0.855713,0.111708,3.351253
 81|0.262907,3.218795,0.866295,0.114538,3.436139
 82|0.266193,3.215931,0.876869,0.117402,3.522069
 83|0.269479,3.213032,0.887433,0.120301,3.609040
 84|0.272766,3.210098,0.897987,0.123235,3.697052
 85|0.276052,3.207130,0.908531,0.126203,3.786105
 86|0.279339,3.204127,0.919066,0.129207,3.876196
 87|0.282625,3.201089,0.929591,0.132244,3.967326
 88|0.285911,3.198017,0.940106,0.135316,4.059493
 89|0.289198,3.194910,0.950611,0.138423,4.152696
 90|0.292484,3.191769,0.961105,0.141564,4.246934
 91|0.295770,3.188593,0.971589,0.144740,4.342206
 92|0.299057,3.185383,0.982062,0.147950,4.438512
 93|0.302343,3.182138,0.992525,0.151195,4.535849
 94|0.305629,3.178859,1.002978,0.154474,4.634218
 95|0.308916,3.175546,1.013419,0.157787,4.733616
 96|0.312202,3.172199,1.023849,0.161135,4.834043
 97|0.315488,3.168817,1.034269,0.164517,4.935498
 98|0.318775,3.165401,1.044677,0.167933,5.037980
 99|0.322061,3.161950,1.055074,0.171383,5.141488
100|0.325347,3.158466,1.065459,0.174867,5.246019
101|0.328634,3.154948,1.075833,0.178386,5.351575
102|0.331920,3.151395,1.086196,0.181938,5.458152
103|0.335206,3.147808,1.096546,0.185525,5.565750
104|0.338493,3.144188,1.106885,0.189146,5.674369
105|0.341779,3.140533,1.117212,0.192800,5.784006
106|0.345065,3.136845,1.127527,0.196489,5.894660
107|0.348352,3.133122,1.137829,0.200211,6.006331
108|0.351638,3.129366,1.148120,0.203967,6.119017
109|0.354924,3.125576,1.158398,0.207757,6.232717
110|0.358211,3.121752,1.168663,0.211581,6.347430
111|0.361497,3.117895,1.178916,0.215438,6.463154
112|0.364783,3.114004,1.189156,0.219330,6.579888
113|0.368070,3.110079,1.199383,0.223254,6.697631
114|0.371356,3.106121,1.209597,0.227213,6.816382
115|0.374642,3.102129,1.219799,0.231205,6.936140
116|0.377929,3.098103,1.229987,0.235230,7.056902
117|0.381215,3.094044,1.240161,0.239289,7.178668
118|0.384501,3.089952,1.250323,0.243381,7.301437
119|0.387788,3.085826,1.260471,0.247507,7.425206
120|0.391074,3.081667,1.270605,0.251666,7.549976
121|0.394360,3.077475,1.280725,0.255858,7.675744
122|0.397647,3.073250,1.290832,0.260084,7.802509
123|0.400933,3.068991,1.300925,0.264342,7.930270
124|0.404219,3.064699,1.311003,0.268634,8.059025
125|0.407506,3.060374,1.321068,0.272959,8.188773
126|0.410792,3.056016,1.331118,0.277317,8.319513
127|0.414078,3.051625,1.341154,0.281708,8.451243
128|0.417365,3.047201,1.351176,0.286132,8.583962
129|0.420651,3.042744,1.361182,0.290589,8.717667
130|0.423937,3.038255,1.371175,0.295079,8.852359
131|0.427224,3.033732,1.381152,0.299601,8.988035
132|0.430510,3.029177,1.391114,0.304156,9.124694
133|0.433796,3.024589,1.401062,0.308744,9.262335
134|0.437083,3.019968,1.410994,0.313365,9.400955
135|0.440369,3.015315,1.420911,0.318018,9.540554
136|0.443655,3.010629,1.430812,0.322704,9.681130
137|0.446942,3.005911,1.440699,0.327423,9.822682
138|0.450228,3.001160,1.450569,0.332174,9.965207
139|0.453514,2.996377,1.460424,0.336957,10.108704
140|0.456801,2.991561,1.470263,0.341772,10.253173
141|0.460087,2.986713,1.480087,0.346620,10.398611
142|0.463373,2.981833,1.489894,0.351501,10.545016
143|0.466660,2.976920,1.499685,0.356413,10.692388
144|0.469946,2.971976,1.509460,0.361357,10.840724
145|0.473232,2.966999,1.519219,0.366334,10.990023
146|0.476519,2.961991,1.528961,0.371343,11.140283
147|0.479805,2.956950,1.538687,0.376383,11.291503
148|0.483091,2.951877,1.548396,0.381456,11.443681
149|0.486378,2.946773,1.558089,0.386561,11.596815
150|0.489664,2.941637,1.567765,0.391697,11.750905
151|0.492950,2.936468,1.577423,0.396865,11.905947
152|0.496237,2.931269,1.587065,0.402065,12.061940
153|0.499523,2.926037,1.596690,0.407296,12.218884
154|0.502809,2.920774,1.606297,0.412559,12.376775
155|0.506096,2.915480,1.615887,0.417854,12.535613
156|0.509382,2.910153,1.625459,0.423180,12.695396
157|0.512668,2.904796,1.635014,0.428537,12.856121
158|0.515955,2.899407,1.644551,0.433926,13.017787
159|0.519241,2.893987,1.654071,0.439346,13.180393
160|0.522527,2.888535,1.663573,0.444798,13.343937
161|0.525814,2.883053,1.673056,0.450281,13.508416
162|0.529100,2.877539,1.682522,0.455794,13.673829
163|0.532386,2.871994,1.691969,0.461339,13.840175
164|0.535673,2.866418,1.701399,0.466915,14.007452
165|0.538959,2.860811,1.710809,0.472522,14.175657
166|0.542245,2.855174,1.720202,0.478160,14.344789
167|0.545532,2.849505,1.729576,0.483828,14.514846
168|0.548818,2.843806,1.738931,0.489528,14.685826
169|0.552104,2.838076,1.748267,0.495258,14.857728
170|0.555391,2.832315,1.757584,0.501018,15.030549
171|0.558677,2.826524,1.766883,0.506810,15.204288
172|0.561963,2.820702,1.776162,0.512631,15.378942
173|0.565250,2.814850,1.785422,0.518484,15.554511
174|0.568536,2.808967,1.794663,0.524366,15.730991
175|0.571822,2.803054,1.803885,0.530279,15.908382
176|0.575109,2.797111,1.813087,0.536223,16.086681
177|0.578395,2.791137,1.822269,0.542196,16.265886
178|0.581681,2.785133,1.831432,0.548200,16.445996
179|0.584968,2.779100,1.840575,0.554234,16.627007
180|0.588254,2.773036,1.849698,0.560297,16.808920
181|0.591540,2.766942,1.858801,0.566391,16.991730
182|0.594827,2.760819,1.867884,0.572515,17.175438
183|0.598113,2.754665,1.876947,0.578668,17.360039
184|0.601399,2.748482,1.885990,0.584851,17.545534
185|0.604686,2.742269,1.895012,0.591064,17.731918
186|0.607972,2.736027,1.904014,0.597306,17.919192
187|0.611258,2.729755,1.912995,0.603578,18.107351
188|0.614545,2.723453,1.921955,0.609880,18.296395
189|0.617831,2.717123,1.930895,0.616211,18.486322
190|0.621117,2.710762,1.939814,0.622571,18.677129
191|0.624404,2.704373,1.948712,0.628960,18.868814
192|0.627690,2.697954,1.957589,0.635379,19.061375
193|0.630976,2.691506,1.966445,0.641827,19.254811
194|0.634263,2.685029,1.975279,0.648304,19.449119
195|0.637549,2.678523,1.984093,0.654810,19.644296
196|0.640835,2.671989,1.992884,0.661345,19.840341
197|0.644122,2.665425,2.001655,0.667908,20.037253
198|0.647408,2.658832,2.010403,0.674501,20.235027
199|0.650694,2.652211,2.019130,0.681122,20.433663
200|0.653981,2.645561,2.027835,0.687772,20.633159
201|0.657267,2.638883,2.036519,0.694450,20.833511
202|0.660553,2.632176,2.045180,0.701157,21.034719
203|0.663840,2.625441,2.053819,0.707893,21.236780
204|0.667126,2.618677,2.062436,0.714656,21.439691
205|0.670412,2.611885,2.071031,0.721448,21.643450
206|0.673699,2.605065,2.079603,0.728269,21.848056
207|0.676985,2.598216,2.088153,0.735117,22.053506
208|0.680271,2.591340,2.096680,0.741993,22.259797
209|0.683558,2.584436,2.105185,0.748898,22.466929
210|0.686844,2.577503,2.113667,0.755830,22.674897
211|0.690130,2.570543,2.122126,0.762790,22.883701
212|0.693417,2.563555,2.130562,0.769778,23.093338
213|0.696703,2.556540,2.138975,0.776793,23.303805
214|0.699989,2.549497,2.147365,0.783837,23.515100
215|0.703276,2.542426,2.155732,0.790907,23.727222
216|0.706562,2.535328,2.164076,0.798006,23.940167
217|0.709848,2.528202,2.172396,0.805131,24.153934
218|0.713135,2.521049,2.180693,0.812284,24.368520
219|0.716421,2.513869,2.188966,0.819464,24.583922
220|0.719707,2.506662,2.197216,0.826671,24.800139
221|0.722994,2.499428,2.205442,0.833906,25.017169
222|0.726280,2.492166,2.213644,0.841167,25.235008
223|0.729566,2.484878,2.221822,0.848455,25.453654
224|0.732853,2.477563,2.229976,0.855770,25.673106
225|0.736139,2.470221,2.238106,0.863112,25.893361
226|0.739425,2.462853,2.246212,0.870481,26.114415
227|0.742712,2.455458,2.254293,0.877876,26.336268
228|0.745998,2.448036,2.262351,0.885297,26.558916
229|0.749284,2.440588,2.270383,0.892745,26.782358
230|0.752571,2.433114,2.278392,0.900220,27.006590
231|0.755857,2.425613,2.286375,0.907720,27.231611
232|0.759143,2.418086,2.294334,0.915247,27.457417
233|0.762430,2.410533,2.302269,0.922800,27.684007
234|0.765716,2.402954,2.310178,0.930379,27.911378
235|0.769002,2.395349,2.318063,0.937984,28.139527
236|0.772289,2.387718,2.325922,0.945615,28.368453
237|0.775575,2.380062,2.333756,0.953272,28.598152
238|0.778861,2.372379,2.341565,0.960954,28.828622
239|0.782148,2.364671,2.349349,0.968662,29.059861
240|0.785434,2.356938,2.357107,0.976396,29.291866
241|0.788720,2.349179,2.364840,0.984155,29.524635
242|0.792007,2.341394,2.372548,0.991939,29.758165
243|0.795293,2.333585,2.380230,0.999748,29.992454
244|0.798579,2.325750,2.387886,1.007583,30.227498
245|0.801866,2.317890,2.395516,1.015443,30.463296
246|0.805152,2.310005,2.403120,1.023328,30.699845
247|0.808438,2.302095,2.410699,1.031238,30.937143
248|0.811725,2.294160,2.418251,1.039173,31.175186
249|0.815011,2.286201,2.425778,1.047132,31.413973
250|0.818298,2.278217,2.433278,1.055117,31.653501
251|0.821584,2.270208,2.440751,1.063126,31.893766
252|0.824870,2.262174,2.448199,1.071159,32.134767
253|0.828157,2.254117,2.455620,1.079217,32.376502
254|0.831443,2.246034,2.463014,1.087299,32.618966
255|0.834729,2.237928,2.470382,1.095405,32.862158
256|0.838016,2.229797,2.477724,1.103536,33.106075
257|0.841302,2.221643,2.485038,1.111691,33.350715
258|0.844588,2.213464,2.492326,1.119869,33.596075
259|0.847875,2.205262,2.499586,1.128072,33.842151
260|0.851161,2.197035,2.506820,1.136298,34.088943
261|0.854447,2.188785,2.514027,1.144548,34.336446
262|0.857734,2.180511,2.521206,1.152822,34.584658
263|0.861020,2.172214,2.528359,1.161119,34.833576
264|0.864306,2.163893,2.535484,1.169440,35.083199
265|0.867593,2.155549,2.542581,1.177784,35.333523
266|0.870879,2.147182,2.549651,1.186151,35.584544
267|0.874165,2.138791,2.556694,1.194542,35.836262
268|0.877452,2.130378,2.563709,1.202956,36.088673
269|0.880738,2.121941,2.570696,1.211392,36.341774
