OneBody2_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [6.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
1|0.0,6.0,0.0,0.0,0.0
2|0.00161,5.999994,0.009661,6.214423020622917e-07,1.0357367559204377e-05
3|0.00322,5.999978,0.019322,3.1425510194083017e-07,5.2375773528203925e-06
4|0.00483,5.99995,0.028983,7.193146522865845e-09,1.1988537587961452e-07
5|0.006441,5.999911,0.038643,1.669525193648269e-07,2.7825254762247887e-06
6|0.008051,5.999861,0.048304,1.6514238865283914e-07,2.7523476362828687e-06
7|0.009661,5.9998,0.057965,5.464415586686755e-09,9.107237876196283e-08
8|0.011271,5.999728,0.067625,2.9662841960487185e-07,4.943717344376185e-06
9|0.012881,5.999644,0.077286,6.290274443543353e-07,1.0483541932644752e-05
10|0.014491,5.99955,0.086946,1.6060402785456063e-08,2.676653499095696e-07
11|0.016101,5.999444,0.096606,6.478443603796791e-07,1.0797005804311093e-05
12|0.017711,5.999328,0.106266,2.7576074135282624e-07,4.5958064680393e-06
13|0.019321,5.9992,0.115926,4.4104554675072905e-08,7.350367102696672e-07
14|0.020931,5.999061,0.125586,2.069860496334286e-07,3.449551558285288e-06
15|0.022541,5.998911,0.135245,2.4369105044996786e-07,4.061222666642313e-06
16|0.024151,5.99875,0.144904,1.2636924129338922e-07,2.1059785233967066e-06
17|0.025761,5.998578,0.154563,1.4584094820691007e-07,2.4304520609219784e-06
18|0.027371,5.998395,0.164222,5.738589674564309e-07,9.563292833068481e-06
19|0.028981,5.9982,0.17388,2.8114450234539845e-07,4.685179461439791e-06
20|0.03059,5.997995,0.183538,4.899144867565042e-07,8.16415020583329e-06
21|0.0322,5.997778,0.193196,5.32308499501255e-08,8.870494323836547e-07
22|0.03381,5.99755,0.202854,4.4061917492399516e-07,7.342453640252526e-06
23|0.035419,5.997311,0.212511,6.355914177191835e-07,1.0591291713974959e-05
24|0.037029,5.997062,0.222167,5.890023686561108e-07,9.81478376111899e-06
25|0.038639,5.996801,0.231824,6.193868955506332e-07,1.0320913771819964e-05
26|0.040248,5.996528,0.241479,6.083260561950965e-07,1.0136421368725618e-05
27|0.041858,5.996245,0.251135,3.2259168047943376e-07,5.375182383026963e-06
28|0.043467,5.995951,0.26079,1.6160544991095094e-07,2.692697314341701e-06
