OneBody2_zook_numericalmethod_E-0.05_ecc0.00_EU1.txt
initial value : [x, y, v_x, v_y] = [10.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,10.000000,0.000000,0.000000,0.000000
  2|0.000632,10.000000,0.006325,0.000000,0.000000
  3|0.001265,9.999996,0.012649,0.000004,0.000040
  4|0.001897,9.999988,0.018974,0.000012,0.000120
  5|0.002530,9.999976,0.025298,0.000024,0.000240
  6|0.003162,9.999960,0.031623,0.000040,0.000400
  7|0.003795,9.999940,0.037947,0.000060,0.000600
  8|0.004427,9.999916,0.044272,0.000084,0.000840
  9|0.005060,9.999888,0.050596,0.000112,0.001120
 10|0.005692,9.999856,0.056921,0.000144,0.001440
 11|0.006325,9.999820,0.063245,0.000180,0.001800
 12|0.006957,9.999780,0.069570,0.000220,0.002200
 13|0.007589,9.999736,0.075894,0.000264,0.002640
 14|0.008222,9.999688,0.082218,0.000312,0.003120
 15|0.008854,9.999636,0.088543,0.000364,0.003640
 16|0.009487,9.999580,0.094867,0.000420,0.004200
 17|0.010119,9.999520,0.101191,0.000480,0.004800
 18|0.010752,9.999456,0.107516,0.000544,0.005440
 19|0.011384,9.999388,0.113840,0.000612,0.006120
 20|0.012017,9.999316,0.120164,0.000684,0.006840
 21|0.012649,9.999240,0.126488,0.000760,0.007600
 22|0.013282,9.999160,0.132812,0.000840,0.008400
 23|0.013914,9.999076,0.139136,0.000924,0.009240
 24|0.014546,9.998988,0.145460,0.001012,0.010120
 25|0.015179,9.998896,0.151784,0.001104,0.011040
 26|0.015811,9.998800,0.158108,0.001200,0.012000
 27|0.016444,9.998700,0.164432,0.001300,0.013000
 28|0.017076,9.998596,0.170756,0.001404,0.014040
 29|0.017709,9.998488,0.177079,0.001512,0.015120
 30|0.018341,9.998376,0.183403,0.001624,0.016240
 31|0.018974,9.998260,0.189726,0.001740,0.017400
 32|0.019606,9.998140,0.196050,0.001860,0.018600
 33|0.020239,9.998016,0.202373,0.001984,0.019839
 34|0.020871,9.997888,0.208697,0.002112,0.021119
 35|0.021503,9.997756,0.215020,0.002244,0.022439
 36|0.022136,9.997620,0.221343,0.002380,0.023799
 37|0.022768,9.997480,0.227666,0.002520,0.025199
 38|0.023401,9.997336,0.233989,0.002664,0.026639
 39|0.024033,9.997188,0.240312,0.002812,0.028119
 40|0.024666,9.997036,0.246635,0.002964,0.029639
 41|0.025298,9.996880,0.252957,0.003120,0.031199
 42|0.025931,9.996720,0.259280,0.003280,0.032798
 43|0.026563,9.996556,0.265602,0.003444,0.034438
 44|0.027196,9.996388,0.271925,0.003612,0.036118
 45|0.027828,9.996216,0.278247,0.003784,0.037838
 46|0.028460,9.996040,0.284569,0.003960,0.039598
 47|0.029093,9.995860,0.290891,0.004140,0.041398
 48|0.029725,9.995676,0.297213,0.004324,0.043237
 49|0.030358,9.995488,0.303535,0.004512,0.045117
 50|0.030990,9.995296,0.309857,0.004704,0.047037
 51|0.031623,9.995100,0.316178,0.004900,0.048996
 52|0.032255,9.994900,0.322500,0.005100,0.050996
 53|0.032888,9.994696,0.328821,0.005304,0.053036
 54|0.033520,9.994488,0.335142,0.005512,0.055116
 55|0.034153,9.994276,0.341463,0.005724,0.057235
 56|0.034785,9.994061,0.347784,0.005939,0.059395
 57|0.035418,9.993841,0.354105,0.006159,0.061594
 58|0.036050,9.993617,0.360426,0.006383,0.063834
 59|0.036682,9.993389,0.366746,0.006611,0.066113
 60|0.037315,9.993157,0.373067,0.006843,0.068433
 61|0.037947,9.992921,0.379387,0.007079,0.070792
 62|0.038580,9.992681,0.385707,0.007319,0.073192
 63|0.039212,9.992437,0.392027,0.007563,0.075631
 64|0.039845,9.992189,0.398347,0.007811,0.078111
 65|0.040477,9.991937,0.404666,0.008063,0.080630
 66|0.041110,9.991681,0.410986,0.008319,0.083190
 67|0.041742,9.991421,0.417305,0.008579,0.085789
 68|0.042375,9.991157,0.423624,0.008843,0.088428
 69|0.043007,9.990889,0.429943,0.009111,0.091107
 70|0.043639,9.990617,0.436262,0.009383,0.093827
 71|0.044272,9.990341,0.442580,0.009659,0.096586
 72|0.044904,9.990062,0.448899,0.009938,0.099385
 73|0.045537,9.989778,0.455217,0.010222,0.102224
 74|0.046169,9.989490,0.461535,0.010510,0.105103
 75|0.046802,9.989198,0.467853,0.010802,0.108022
 76|0.047434,9.988902,0.474171,0.011098,0.110981
 77|0.048067,9.988602,0.480488,0.011398,0.113980
 78|0.048699,9.988298,0.486806,0.011702,0.117019
 79|0.049332,9.987990,0.493123,0.012010,0.120098
 80|0.049964,9.987678,0.499440,0.012322,0.123217
 81|0.050596,9.987362,0.505757,0.012638,0.126375
 82|0.051229,9.987043,0.512073,0.012957,0.129574
 83|0.051861,9.986719,0.518390,0.013281,0.132813
 84|0.052494,9.986391,0.524706,0.013609,0.136091
 85|0.053126,9.986059,0.531022,0.013941,0.139410
 86|0.053759,9.985723,0.537337,0.014277,0.142768
 87|0.054391,9.985383,0.543653,0.014617,0.146167
 88|0.055024,9.985039,0.549968,0.014961,0.149605
 89|0.055656,9.984692,0.556283,0.015308,0.153084
 90|0.056289,9.984340,0.562598,0.015660,0.156602
 91|0.056921,9.983984,0.568913,0.016016,0.160160
 92|0.057553,9.983624,0.575227,0.016376,0.163758
 93|0.058186,9.983260,0.581541,0.016740,0.167396
 94|0.058818,9.982893,0.587855,0.017107,0.171074
 95|0.059451,9.982521,0.594169,0.017479,0.174792
 96|0.060083,9.982145,0.600483,0.017855,0.178550
 97|0.060716,9.981765,0.606796,0.018235,0.182348
 98|0.061348,9.981381,0.613109,0.018619,0.186186
 99|0.061981,9.980994,0.619422,0.019006,0.190063
100|0.062613,9.980602,0.625734,0.019398,0.193981
101|0.063246,9.980206,0.632047,0.019794,0.197939
102|0.063878,9.979806,0.638359,0.020194,0.201936
103|0.064510,9.979403,0.644670,0.020597,0.205973
104|0.065143,9.978995,0.650982,0.021005,0.210051
105|0.065775,9.978583,0.657293,0.021417,0.214168
106|0.066408,9.978167,0.663604,0.021833,0.218325
107|0.067040,9.977748,0.669915,0.022252,0.222522
108|0.067673,9.977324,0.676225,0.022676,0.226759
109|0.068305,9.976896,0.682536,0.023104,0.231036
110|0.068938,9.976465,0.688846,0.023535,0.235353
111|0.069570,9.976029,0.695155,0.023971,0.239709
112|0.070203,9.975589,0.701465,0.024411,0.244106
113|0.070835,9.975146,0.707774,0.024854,0.248542
114|0.071467,9.974698,0.714083,0.025302,0.253019
115|0.072100,9.974246,0.720391,0.025754,0.257535
116|0.072732,9.973791,0.726699,0.026209,0.262091
117|0.073365,9.973331,0.733007,0.026669,0.266687
118|0.073997,9.972868,0.739315,0.027132,0.271323
119|0.074630,9.972400,0.745622,0.027600,0.275999
120|0.075262,9.971928,0.751930,0.028072,0.280715
121|0.075895,9.971453,0.758236,0.028547,0.285471
122|0.076527,9.970973,0.764543,0.029027,0.290266
123|0.077160,9.970490,0.770849,0.029510,0.295102
124|0.077792,9.970002,0.777155,0.029998,0.299977
125|0.078424,9.969511,0.783461,0.030489,0.304892
126|0.079057,9.969015,0.789766,0.030985,0.309848
127|0.079689,9.968516,0.796071,0.031484,0.314842
128|0.080322,9.968012,0.802375,0.031988,0.319877
129|0.080954,9.967505,0.808680,0.032495,0.324952
130|0.081587,9.966993,0.814984,0.033007,0.330067
131|0.082219,9.966478,0.821287,0.033522,0.335221
132|0.082852,9.965958,0.827591,0.034042,0.340416
133|0.083484,9.965435,0.833894,0.034565,0.345650
134|0.084117,9.964908,0.840196,0.035092,0.350924
135|0.084749,9.964376,0.846499,0.035624,0.356238
136|0.085381,9.963841,0.852801,0.036159,0.361592
137|0.086014,9.963301,0.859103,0.036699,0.366985
138|0.086646,9.962758,0.865404,0.037242,0.372419
139|0.087279,9.962211,0.871705,0.037789,0.377892
140|0.087911,9.961659,0.878006,0.038341,0.383405
141|0.088544,9.961104,0.884306,0.038896,0.388958
142|0.089176,9.960545,0.890606,0.039455,0.394551
143|0.089809,9.959982,0.896905,0.040018,0.400184
144|0.090441,9.959414,0.903205,0.040586,0.405857
145|0.091074,9.958843,0.909504,0.041157,0.411569
146|0.091706,9.958268,0.915802,0.041732,0.417321
147|0.092338,9.957689,0.922100,0.042311,0.423114
148|0.092971,9.957105,0.928398,0.042895,0.428945
149|0.093603,9.956518,0.934695,0.043482,0.434817
150|0.094236,9.955927,0.940993,0.044073,0.440729
151|0.094868,9.955332,0.947289,0.044668,0.446680
152|0.095501,9.954733,0.953585,0.045267,0.452672
153|0.096133,9.954130,0.959881,0.045870,0.458703
154|0.096766,9.953523,0.966177,0.046477,0.464774
155|0.097398,9.952912,0.972472,0.047088,0.470884
156|0.098031,9.952297,0.978767,0.047703,0.477035
157|0.098663,9.951677,0.985061,0.048323,0.483225
158|0.099296,9.951054,0.991355,0.048946,0.489455
159|0.099928,9.950427,0.997649,0.049573,0.495725
160|0.100560,9.949796,1.003942,0.050204,0.502035
