OneBody2_zook_numericalmethod_E-0.05_ecc0.90_EU1.txt
initial value : [x, y, v_x, v_y] = [1.00,0.00,0.00,1.38] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
1|0.0,1.0,0.0,0.0,0.0
2|0.027561,1.0,0.027568,nan,nan
3|0.055102,0.9996,0.055136,0.0007594539494875097,0.07591806530140355
4|0.082614,0.9988,0.082703,0.0011381455697279108,0.11369176901713625
5|0.110086,0.9976,0.110268,0.001515680492291116,0.15124137387304748
6|0.137509,0.996001,0.137829,0.001893239353253362,0.1886449849663041
7|0.164874,0.994002,0.165386,0.002268604006352204,0.22564232512448812
8|0.19217,0.991603,0.192937,0.0026412534814241884,0.26214423537616477
9|0.219388,0.988805,0.220481,0.003012513723781085,0.2982464089612671
10|0.24652,0.985608,0.248016,0.003381176718923129,0.3337940527735695
11|0.273555,0.982012,0.275542,0.0037475492345160344,0.36878459774567046
12|0.300485,0.978018,0.303056,0.0041117170135243075,0.403194949927864
13|0.327301,0.973625,0.330557,0.0044713150437807325,0.4367637808989471
14|0.353994,0.968835,0.358044,0.004829422951874829,0.46976607077503846
15|0.380556,0.963647,0.385514,0.0051823000740751635,0.5018118360774296
16|0.406978,0.958062,0.412965,0.005530564972003438,0.5329409026894364
17|0.433251,0.952081,0.440397,0.005876386767763586,0.5633434593400303
18|0.459369,0.945705,0.467805,0.0062170424452154815,0.5927396430032126
19|0.485323,0.938934,0.495189,0.006553108375868755,0.6211715081501948
20|0.511105,0.931769,0.522546,0.006884213478372647,0.6485927070970943
21|0.536709,0.924211,0.549873,0.007208978467983629,0.6748651947820377
22|0.562127,0.916262,0.577168,0.007529344982910802,0.7001668171396035
23|0.587351,0.907923,0.604428,0.007844931977745162,0.7244579278028748
24|0.612377,0.899194,0.63165,0.00815183779583517,0.7473775227989953
25|0.637196,0.890079,0.658832,0.008455687791070199,0.7694482475358162
26|0.661804,0.880578,0.68597,0.008751606617051877,0.7902272316315696
27|0.686194,0.870694,0.713061,0.009041685783416131,0.8099143256242746
28|0.710361,0.860428,0.740103,0.00932528855249326,0.8284618611900385
29|0.734299,0.849783,0.767091,0.009601896941191734,0.8458368498687729
30|0.758004,0.838761,0.794022,0.009870561119838417,0.8619713926082392
31|0.781471,0.827365,0.820893,0.01013234717656819,0.8769777646110635
32|0.804696,0.815598,0.8477,0.010386510014888772,0.890810475880088
33|0.827675,0.803462,0.87444,0.01063242791203578,0.9034385057317316
34|0.850403,0.790961,0.90111,0.010872694255443571,0.9151062588154397
35|0.872878,0.778098,0.927704,0.011102910578673741,0.9254651498150026
36|0.895097,0.764877,0.954221,0.011326561458721462,0.9348353637160461
37|0.917057,0.751302,0.980656,0.011542386793376158,0.9431377109113959
38|0.938755,0.737375,1.007005,0.011748626493129466,0.9502575583633549
39|0.960189,0.723103,1.033265,0.011948639193585908,0.956497645578431
40|0.981358,0.708487,1.059432,0.01213831085262651,0.961555783180949
41|1.002259,0.693534,1.085502,0.012320792224367327,0.9657163505168848
42|1.022893,0.678247,1.111472,0.012493346166813302,0.9687935982496095
43|1.043257,0.662632,1.137339,0.012659681359647124,0.9711092572112001
44|1.063351,0.646693,1.163098,0.012816620487148267,0.9724472399909125
45|1.083175,0.630435,1.188746,0.012964355389738724,0.9728557852504143
46|1.102729,0.613864,1.21428,0.01310381621991108,0.9724374028519557
47|1.122012,0.596984,1.239697,0.013235855284369658,0.9712862247686137
48|1.141025,0.579802,1.264993,0.013359901067571789,0.9693886674435933
49|1.15977,0.562321,1.290165,0.013473175252033176,0.9665734626033843
50|1.178246,0.544549,1.31521,0.013579305924264151,0.9631354212956814
51|1.196454,0.526491,1.340125,0.013678048335741488,0.959083672836457
52|1.214397,0.508152,1.364907,0.013766889137501792,0.9542688801048035
53|1.232075,0.489538,1.389554,0.013848751385327374,0.9489244621167205
