OneBody2_E-0.15_ecc0.4_EU1.txt
initial value : [x, y, v_x, v_y] = [2.00,0.00,0.00,0.84] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
1|0.0,2.0,0.0,0.0,0.0
2|0.008366,2.0,0.016733,nan,nan
3|0.016733,1.99985,0.033466,6.999058330858787e-05,0.003499424175519746
4|0.025099,1.9996,0.050198,6.998154125659184e-05,0.0034987971502470987
5|0.033464,1.99925,0.066928,6.99472216196817e-05,0.0034968365581502232
6|0.041828,1.9988,0.083655,6.983088200085419e-05,0.003490706342218646
7|0.050192,1.99825,0.10038,6.964416854104982e-05,0.003480990064056668
8|0.058553,1.9976,0.1171,6.92933825545694e-05,0.0034630069116572473
9|0.066914,1.996851,0.133816,7.008895838778173e-05,0.003502242157338663
10|0.075272,1.996001,0.150528,6.938979369541798e-05,0.0034667170364894484
11|0.083628,1.995052,0.167233,6.961551036255287e-05,0.0034773343917368885
12|0.091982,1.994003,0.183932,6.943488817379162e-05,0.0034675854244396774
13|0.100333,1.992855,0.200624,7.016539674919997e-05,0.00350326375896371
14|0.108682,1.991607,0.217308,7.016110037616485e-05,0.003502176257828507
15|0.117027,1.990259,0.233983,6.939285091478453e-05,0.003462896117503062
16|0.125369,1.988812,0.25065,6.928850216203486e-05,0.003456690423017448
17|0.133707,1.987266,0.267307,6.957430548171217e-05,0.0034698782610635896
18|0.142042,1.985621,0.283953,6.989639272658721e-05,0.0034847979733319567
19|0.150372,1.983876,0.300589,6.924241759209693e-05,0.003450992177938065
20|0.158698,1.982033,0.317212,6.959287174668205e-05,0.003467184589256426
21|0.167019,1.98009,0.333823,6.845561343515882e-05,0.0034092052755050365
22|0.175336,1.978049,0.350422,6.841177171423851e-05,0.0034056372098185917
23|0.183647,1.97591,0.367006,6.894792449463338e-05,0.0034308664151522753
24|0.191954,1.973672,0.383576,6.856497379326143e-05,0.0034102913339099914
25|0.200254,1.971336,0.400131,6.875706798847858e-05,0.003418257226126722
26|0.208549,1.968901,0.416671,6.778891276004728e-05,0.0033684943273601556
27|0.216838,1.966369,0.433194,6.789539318718951e-05,0.003372088274893094
28|0.225121,1.963739,0.449701,6.792537802313703e-05,0.0033718157373295713
29|0.233397,1.961012,0.466189,6.840429682775095e-05,0.0033937515215634578
30|0.241666,1.958187,0.48266,6.852568907067536e-05,0.003397869401147358
31|0.249928,1.955264,0.499112,6.757175435323504e-05,0.003348627056401422
32|0.258184,1.952245,0.515544,6.758239972004532e-05,0.0033471511984193725
33|0.266431,1.949129,0.531956,6.771859872456432e-05,0.0033518278718337384
34|0.274672,1.945916,0.548347,6.689191512299075e-05,0.003308804817424385
35|0.282904,1.942607,0.564717,6.69786565934416e-05,0.003310927841865666
36|0.291128,1.939202,0.581066,6.76783192496977e-05,0.003343263276134532
37|0.299344,1.9357,0.597391,6.637468508863265e-05,0.0032765971898949626
38|0.307551,1.932103,0.613693,6.622478092976891e-05,0.003266876898997993
39|0.31575,1.928411,0.629971,6.644966581781375e-05,0.0032755839575200046
40|0.323939,1.924623,0.646225,6.612479468204313e-05,0.0032571372156540543
41|0.33212,1.92074,0.662454,6.550788500669924e-05,0.0032242828720106735
42|0.340291,1.916763,0.678657,6.584649322149971e-05,0.003238413416691367
43|0.348452,1.912691,0.694834,6.572293791773376e-05,0.0032297498075957577
44|0.356604,1.908525,0.710983,6.508701433327602e-05,0.003195881839334767
45|0.364745,1.904265,0.727106,6.532727431585172e-05,0.003204997788863955
46|0.372876,1.899911,0.7432,6.458805538978041e-05,0.0031660261737302886
47|0.380997,1.895464,0.759265,6.399056332284658e-05,0.00313400499150411
48|0.389107,1.890924,0.775302,6.421345692908531e-05,0.003142127065144997
49|0.397207,1.886292,0.791308,6.452705601445174e-05,0.0031546117448330033
50|0.405295,1.881566,0.807284,6.340839240026597e-05,0.003097060261620583
51|0.413372,1.876749,0.823229,6.365529164442663e-05,0.003106196311214736
52|0.421438,1.87184,0.839142,6.33039564275073e-05,0.0030860948230565723
53|0.429491,1.866839,0.855023,6.288286523714604e-05,0.0030625802900125713
54|0.437534,1.861748,0.870871,6.313660346224381e-05,0.0030718907895394268
55|0.445564,1.856565,0.886686,6.246776698626277e-05,0.003036286099002496
56|0.453581,1.851292,0.902467,6.26281130853279e-05,0.0030409626563144858
57|0.461587,1.845928,0.918214,6.15230451583848e-05,0.0029841959970971057
58|0.46958,1.840475,0.933926,6.155817521946716e-05,0.0029827442372704943
59|0.47756,1.834933,0.949602,6.195316970947218e-05,0.0029986623244433086
60|0.485527,1.829301,0.965242,6.134249147704551e-05,0.0029658703487394993
61|0.493481,1.823581,0.980845,6.133467501667766e-05,0.002962215394916165
62|0.501422,1.817772,0.996412,6.121357592814292e-05,0.0029530529359696705
63|0.509349,1.811875,1.01194,6.0468992896467455e-05,0.0029138172576863336
64|0.517263,1.80589,1.027431,5.9841635307034124e-05,0.0028802641844247923
65|0.525163,1.799819,1.042882,5.992145194300136e-05,0.0028807384895703603
66|0.533049,1.79366,1.058294,5.886266137222762e-05,0.0028264891662391008
67|0.54092,1.787415,1.073667,5.9266214380571114e-05,0.002842458170281086
68|0.548778,1.781084,1.088999,5.872475365764629e-05,0.0028130722513713454
69|0.556621,1.774667,1.10429,5.791551416090002e-05,0.002770900489722217
70|0.564449,1.768165,1.119541,5.853208331707549e-05,0.0027969197437387157
71|0.572263,1.761578,1.134749,5.7816393200571525e-05,0.00275924675319033
72|0.580062,1.754907,1.149915,5.787014243452404e-05,0.0027582991076725255
73|0.587846,1.748151,1.165038,5.6676287121693036e-05,0.0026979204909934125
74|0.595614,1.741312,1.180118,5.6756996503093404e-05,0.002698249121902712
75|0.603367,1.73439,1.195154,5.671774847382238e-05,0.0026928387497472677
76|0.611105,1.727385,1.210146,5.637233128963359e-05,0.0026728831279686223
77|0.618827,1.720298,1.225093,5.635224546995943e-05,0.0026683441804011407
78|0.626534,1.713129,1.239995,5.5982666870679765e-05,0.00264724922601387
79|0.634224,1.705878,1.254851,5.530408407938836e-05,0.0026115795686817386
80|0.641899,1.698546,1.269661,5.42095466276038e-05,0.0025563523986705133
81|0.649557,1.691134,1.284425,5.4586693031932754e-05,0.0025705437462198453
82|0.657199,1.683641,1.299142,5.3908483757414416e-05,0.002535028382078859
83|0.664824,1.676069,1.313811,5.379949145067897e-05,0.002526305189376046
84|0.672434,1.668418,1.328432,5.3006035847680266e-05,0.00248547370061117
85|0.680026,1.660688,1.343005,5.2930671567530396e-05,0.002478346853720789
86|0.687602,1.65288,1.35753,5.335922018723238e-05,0.002494764215385547
87|0.69516,1.644993,1.372005,5.25294986672975e-05,0.002452354701121993
88|0.702702,1.63703,1.386431,5.301929397738547e-05,0.0024715455762820953
89|0.710227,1.628989,1.400806,5.149911601476376e-05,0.0023970867304339994
90|0.717735,1.620872,1.415131,5.061560892105632e-05,0.0023524074438330835
91|0.725225,1.61268,1.429406,5.173118972301438e-05,0.0024005992814453004
92|0.732698,1.604411,1.443629,5.0432040370917974e-05,0.0023367252541096023
93|0.740153,1.596068,1.4578,5.001059821463372e-05,0.0023136206346135845
94|0.74759,1.58765,1.47192,5.0200155204738195e-05,0.002318778513371673
95|0.75501,1.579158,1.485987,4.9437005447572346e-05,0.00227995085620594
96|0.762413,1.570593,1.500002,4.934613653650999e-05,0.002272169621031803
97|0.769797,1.561955,1.513963,4.9158346496991356e-05,0.0022599273073522015
98|0.777163,1.553244,1.527871,4.899277110181899e-05,0.0022487135381778094
99|0.784511,1.544461,1.541725,4.8696212481047496e-05,0.0022315036692522263
100|0.791842,1.535607,1.555524,4.745656487692429e-05,0.0021711723541187767
101|0.799153,1.526681,1.56927,4.788091073226752e-05,0.0021870148469964423
102|0.806447,1.517685,1.58296,4.6975142783622914e-05,0.0021421217354156553
103|0.813722,1.508619,1.596595,4.671974976666604e-05,0.00212695830504627
104|0.820979,1.499484,1.610174,4.624755667181901e-05,0.002101964276961377
105|0.828217,1.490279,1.623698,4.6087291445839895e-05,0.0020911809312163746
106|0.835437,1.481006,1.637165,4.5278339634080567e-05,0.0020510230356036037
107|0.842638,1.471665,1.650576,4.522323783895388e-05,0.0020450657166849982
108|0.84982,1.462256,1.66393,4.4815873553538665e-05,0.002023200908988691
109|0.856983,1.452781,1.677226,4.460127912331302e-05,0.002010073923868666
110|0.864128,1.443239,1.690465,4.384414944302861e-05,0.0019725585254082383
111|0.871254,1.433631,1.703647,4.387447113840537e-05,0.001970515481552381
