OneBody2_E-0.05_ecc0.9_EU1.txt
initial value : [x, y, v_x, v_y] = [1.00,0.00,0.00,1.38] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,1.000000,0.000000,0.000000,0.000000
  2|0.027561,1.000000,0.027568,0.000180,0.017990
  3|0.055108,0.999400,0.055131,0.001320,0.131857
  4|0.082631,0.998400,0.082687,0.003218,0.321317
  5|0.110119,0.997001,0.110235,0.005876,0.585918
  6|0.137564,0.995203,0.137774,0.009292,0.925049
  7|0.164956,0.993006,0.165304,0.013466,1.337937
  8|0.192284,0.990410,0.192822,0.018397,1.823654
  9|0.219540,0.987415,0.220328,0.024085,2.381123
 10|0.246714,0.984023,0.247821,0.030529,3.009118
 11|0.273797,0.980233,0.275299,0.037728,3.706276
 12|0.300780,0.976045,0.302760,0.045682,4.471097
 13|0.327653,0.971461,0.330204,0.054390,5.301953
 14|0.354408,0.966481,0.357628,0.063851,6.197098
 15|0.381036,0.961105,0.385032,0.074063,7.154672
 16|0.407528,0.955333,0.412413,0.085026,8.172709
 17|0.433877,0.949168,0.439770,0.096737,9.249148
 18|0.460073,0.942609,0.467100,0.109197,10.381839
 19|0.486110,0.935657,0.494402,0.122402,11.568552
 20|0.511978,0.928313,0.521674,0.136351,12.806988
 21|0.537671,0.920579,0.548912,0.151043,14.094788
 22|0.563182,0.912456,0.576116,0.166474,15.429539
 23|0.588502,0.903944,0.603282,0.182642,16.808785
 24|0.613626,0.895046,0.630408,0.199544,18.230040
 25|0.638547,0.885763,0.657491,0.217178,19.690791
 26|0.663258,0.876097,0.684529,0.235539,21.188511
 27|0.687754,0.866050,0.711518,0.254625,22.720666
 28|0.712028,0.855624,0.738456,0.274431,24.284724
 29|0.736076,0.844821,0.765339,0.294952,25.878163
 30|0.759891,0.833643,0.792165,0.316185,27.498483
 31|0.783470,0.822094,0.818930,0.338125,29.143205
 32|0.806808,0.810176,0.845632,0.360766,30.809886
 33|0.829900,0.797891,0.872266,0.384102,32.496123
 34|0.852743,0.785244,0.898829,0.408128,34.199559
 35|0.875333,0.772237,0.925319,0.432837,35.917889
 36|0.897666,0.758873,0.951731,0.458223,37.648865
 37|0.919741,0.745158,0.978062,0.484279,39.390303
 38|0.941553,0.731093,1.004309,0.510997,41.140083
 39|0.963101,0.716684,1.030468,0.538370,42.896159
 40|0.984383,0.701934,1.056536,0.566390,44.656556
 41|1.005397,0.686849,1.082509,0.595049,46.419375
 42|1.026142,0.671431,1.108384,0.624338,48.182799
 43|1.046616,0.655687,1.134158,0.654248,49.945088
 44|1.066819,0.639620,1.159828,0.684771,51.704587
 45|1.086750,0.623236,1.185389,0.715897,53.459721
 46|1.106409,0.606540,1.210839,0.747616,55.208999
 47|1.125796,0.589537,1.236175,0.779919,56.951014
 48|1.144911,0.572232,1.261394,0.812795,58.684441
 49|1.163755,0.554630,1.286492,0.846235,60.408037
 50|1.182328,0.536737,1.311467,0.880228,62.120641
 51|1.200633,0.518559,1.336315,0.914763,63.821171
 52|1.218668,0.500101,1.361035,0.949830,65.508623
 53|1.236437,0.481369,1.385624,0.985418,67.182069
 54|1.253941,0.462369,1.410079,1.021517,68.840656
 55|1.271181,0.443106,1.434397,1.058114,70.483603
 56|1.288160,0.423586,1.458576,1.095199,72.110198
 57|1.304880,0.403816,1.482615,1.132762,73.719798
 58|1.321342,0.383800,1.506511,1.170790,75.311822
 59|1.337550,0.363545,1.530262,1.209272,76.885754
 60|1.353506,0.343057,1.553867,1.248198,78.441133
 61|1.369213,0.322341,1.577323,1.287557,79.977560
 62|1.384673,0.301403,1.600629,1.327337,81.494684
 63|1.399889,0.280250,1.623783,1.367526,82.992211
 64|1.414865,0.258887,1.646784,1.408115,84.469889
 65|1.429603,0.237320,1.669632,1.449092,85.927517
 66|1.444107,0.215554,1.692324,1.490446,87.364932
 67|1.458379,0.193596,1.714860,1.532167,88.782016
 68|1.472424,0.171450,1.737238,1.574243,90.178685
 69|1.486243,0.149123,1.759458,1.616665,91.554891
 70|1.499842,0.126619,1.781520,1.659422,92.910620
 71|1.513222,0.103945,1.803421,1.702503,94.245887
 72|1.526388,0.081106,1.825163,1.745898,95.560735
 73|1.539343,0.058106,1.846745,1.789597,96.855235
 74|1.552090,0.034951,1.868166,1.833591,98.129480
 75|1.564632,0.011647,1.889425,1.877870,99.383586
 76|1.576973,-0.011802,1.910524,1.898820,99.382312
 77|1.589117,-0.035390,1.931461,1.896462,98.168060
 78|1.601067,-0.059114,1.952237,1.894091,96.973487
 79|1.612826,-0.082968,1.972852,1.891706,95.798409
 80|1.624398,-0.106947,1.993305,1.889309,94.642625
