OneBody2_E-0.05_ecc0.45_EU1.txt
initial value : [x, y, v_x, v_y] = [5.50,0.00,0.00,0.51] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
1|0.0,5.5,0.0,0.0,0.0
2|0.001867,5.5,0.010269,nan,nan
3|0.003734,5.49998,0.020538,9.347964283534793e-06,0.00016996270890341103
4|0.005601,5.499947,0.030807,9.433076095355375e-06,0.00017150973084835487
5|0.007468,5.499901,0.041076,9.84251408464587e-06,0.0001789533522328957
6|0.009335,5.499841,0.051345,9.126635194256494e-06,0.00016593666334454874
7|0.011203,5.499769,0.061614,1.0157933711951728e-05,0.0001846862128627856
8|0.01307,5.499683,0.071883,1.008788153367135e-05,0.00018341127048109593
9|0.014937,5.499583,0.082151,8.87236623547949e-06,0.00016131024565434332
10|0.016804,5.499471,0.09242,9.452222593075987e-06,0.0001718511541433956
11|0.018671,5.499345,0.102688,8.882595977866004e-06,0.00016149308994711136
12|0.020537,5.499207,0.112956,1.0136127476911838e-05,0.0001842812712484104
13|0.022404,5.499055,0.123223,1.0184864070339472e-05,0.00018516503063740192
14|0.024271,5.498889,0.133491,9.13841786243097e-06,0.0001661379505173752
15|0.026138,5.498711,0.143758,9.829085101387136e-06,0.00017869179270250677
16|0.028005,5.498519,0.154025,9.391637783018325e-06,0.00017073636150408508
17|0.029871,5.498314,0.164292,9.350611971825629e-06,0.0001699876789767153
18|0.031738,5.498096,0.174558,9.517999872699079e-06,0.00017302758895338462
19|0.033605,5.497865,0.184824,1.0005024620340919e-05,0.00018187776714664053
20|0.035471,5.49762,0.195089,9.40065049626071e-06,0.00017088764217182526
21|0.037338,5.497362,0.205354,9.030452337910333e-06,0.00016415461100021807
22|0.039204,5.497091,0.215618,9.019374403784752e-06,0.00016394960380022264
23|0.04107,5.496807,0.225883,9.392196499646843e-06,0.00017072260979414226
24|0.042937,5.49651,0.236146,9.865807712117203e-06,0.00017932711424198592
25|0.044803,5.496199,0.246409,9.315453137759278e-06,0.00016931921719288192
26|0.046669,5.495875,0.256672,9.089768045811297e-06,0.00016521274976288795
27|0.048535,5.495538,0.266934,9.120390132899558e-06,0.00016576475791842468
