result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.75_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|0.0001119889036083066,nan,nan
2|0.00016795487998377823,2.3285593190536247e-05,86.13580433460149
3|0.00022398149752422825,2.2257600306829772e-05,90.06275047142135
4|0.0002798832291825981,2.184796961834934e-05,92.19389826172988
5|0.0003357150494314176,2.161561975277948e-05,93.5613194018592
6|0.00039145706142029724,2.146704465033622e-05,94.51611766244584
7|0.0004470941074918855,2.1360541424542134e-05,95.22236122851835
8|0.0005043502783035336,2.1282156577484557e-05,95.78028257482664
9|0.0005594678623088711,2.127164872156584e-05,96.1978783492979
10|0.0006144999671944262,2.1205318718742205e-05,96.54917496325383
11|0.0006707681876347849,2.115259828805449e-05,96.84651140617726
12|0.0007267324759667737,2.113785656021605e-05,97.09138407058302
13|0.0007822106559474129,2.111772174018256e-05,97.30025133515922
14|0.0008373260296150598,2.109345848921862e-05,97.4808547993049
15|0.0008931977852615347,2.107057174782767e-05,97.64099597026451
16|0.0009485553151886705,2.1061838831215596e-05,97.77958770627664
17|0.0010029610337878303,2.1044104180134582e-05,97.90180241592653
18|0.0010584839332530294,2.1019398888100227e-05,98.01419764365232
19|0.0011143673728817305,2.1013650744805545e-05,98.11429773913206
20|0.00116926287314989,2.1009762718904312e-05,98.203161735367
21|0.0012230806465969302,2.100043378838734e-05,98.2829886281973
22|0.0012789443835323766,2.0978044231512172e-05,98.35973756938735
23|0.001333274372814941,2.0984291918324516e-05,98.42610850803197
24|0.0013874119141594754,2.0970065852665698e-05,98.488547947538
25|0.0014418082570708535,2.0958184187236384e-05,98.54639588277746
26|0.0014960966092134598,2.0949401667635925e-05,98.59972935312983
27|0.001550135289775767,2.094543235564572e-05,98.64879972130203
28|0.0016051763597539903,2.0938572950157663e-05,98.69555934941836
29|0.0016597640893087906,2.093793606405825e-05,98.73849927234069
30|0.0017133662969404106,2.0940207228647978e-05,98.77783243045918
31|0.001766263813709923,2.0930833578347574e-05,98.81496561182536
32|0.0018192444566205168,2.0919197861957173e-05,98.85011616851001
33|0.0018733168839197845,2.091041572072072e-05,98.88377583631409
34|0.0019271539422338613,2.0912401073047704e-05,98.91485570432391
35|0.0019793728110704123,2.0908710018474608e-05,98.94366993920829
36|0.0020314244231753875,2.0901287893337894e-05,98.97110187044683
37|0.002084474806028691,2.088678988698689e-05,98.99798309739325
38|0.002137986265702718,2.088631254260065e-05,99.02308481220595
39|0.0021895615708302785,2.088887312901022e-05,99.0459791856372
40|0.002242509008797633,2.0879440045362685e-05,99.06892503158515
41|0.0022940951347978356,2.087988053389722e-05,99.08984242993317
42|0.002345788765447221,2.087282667950774e-05,99.11020007483374
43|0.002397945140790725,2.0867040150918115e-05,99.12979493167066
44|0.0024493420294215973,2.0866810336528374e-05,99.14806466039143
45|0.00249920788569602,2.086239683940505e-05,99.16523963617396
46|0.0025512482920211355,2.085005230512138e-05,99.18275095488242
47|0.002600873823432437,2.0851812456257335e-05,99.19827666115926
48|0.0026527821748612013,2.0842302651757905e-05,99.21432287772183
49|0.0027013563444722166,2.0844732217639717e-05,99.22836051377323
50|0.002751872576117975,2.082963219862677e-05,99.24307424771787
51|0.00280252206812337,2.0827898042696802e-05,99.25681591308062
52|0.00285253548136577,2.0828407874873278e-05,99.26982826292836
53|0.0029010279089902724,2.0827269311851637e-05,99.28207276988587
54|0.0029507116248006504,2.08157431895728e-05,99.29455176118815
55|0.002998503825993204,2.081344951676556e-05,99.30587217076932
56|0.003048660346040233,2.0803065902796902e-05,99.3176325486761
57|0.0030971112835715964,2.0808047041853683e-05,99.32814661351601
58|0.003144674624445898,2.0802374741890617e-05,99.33848880325557
59|0.00319267768649123,2.0793762605109123e-05,99.34870460951662
60|0.003239973536346419,2.0789506910645628e-05,99.35834331122071
61|0.0032879110772641162,2.078441664643549e-05,99.367853443782
62|0.0033349182699033975,2.0780435423972676e-05,99.37688321745364
63|0.0033830015228613064,2.077274294620679e-05,99.38596708260901
64|0.0034288817985577147,2.077621701523924e-05,99.39408185420744
65|0.003474716258895505,2.0764782385995773e-05,99.40240351042084
66|0.0035201795434169902,2.0759707398454452e-05,99.41026566564547
67|0.003566562892442615,2.075235744847248e-05,99.41814127286398
68|0.003612323488293878,2.0746734616494678e-05,99.42566786491501
69|0.0036578275566063745,2.07448294293755e-05,99.43286475077512
70|0.0037028505739331585,2.073978413896782e-05,99.43989681125755
71|0.003748014132605615,2.0734281447332137e-05,99.44679286913687
72|0.0037907072963552224,2.073153652837334e-05,99.4530958233492
73|0.0038353034547058407,2.0719226439425142e-05,99.45977608593127
74|0.00387946394249461,2.0713406813754887e-05,99.46607554237414
75|0.003923335375995318,2.0711971663089912e-05,99.47208256042002
76|0.003966920181852629,2.070821968125358e-05,99.47797740483948
77|0.004008566221318954,2.0701648626442193e-05,99.48356475898181
78|0.004051569501871022,2.0694259017517425e-05,99.48922858146798
79|0.004094851870443783,2.0690052043192964e-05,99.4947301465889
80|0.004135453217221308,2.068448428005354e-05,99.49982545579486
81|0.00417665410212642,2.0675820822546598e-05,99.50496688696293
82|0.0042191425732398535,2.0664046264329272e-05,99.51023114517646
83|0.0042594806163611665,2.0664139425363715e-05,99.51486715666717
84|0.004301465704234619,2.0654513274820374e-05,99.51982615473403
85|0.004341368863556294,2.0655612360087616e-05,99.524214297166
86|0.00438050674128565,2.064555086889186e-05,99.52869491845976
87|0.00442056894899423,2.0634359939819547e-05,99.53321936207975
88|0.004460743081235563,2.062928844637213e-05,99.53753695134
89|0.00449823994065035,2.06224383205722e-05,99.54154427970353
90|0.004537591257771201,2.0613208354447465e-05,99.54572355279589
91|0.004576501562969071,2.0606089263353056e-05,99.54974145687859
92|0.004614297539117018,2.060162147010658e-05,99.55352637545673
93|0.004651381664294352,2.0595711806237205e-05,99.55721303275676
94|0.004689552316971213,2.0586376370701487e-05,99.56101617000411
95|0.004727896967199552,2.0579563789979716e-05,99.56472055265262
96|0.004763820686738196,2.0577651365982774e-05,99.56804311666751
97|0.00480011943588643,2.0568105483675936e-05,99.57150846435391
98|0.004837193566828102,2.0558922724234208e-05,99.57498242647925
99|0.004873597696514853,2.0555790225529336e-05,99.57822143915922
100|0.004909079475728273,2.0550490093640406e-05,99.58137793052146
101|0.004942427977097985,2.054085769032099e-05,99.58439743005862
102|0.004977851111223064,2.052705142929767e-05,99.58763227403452
103|0.005011935681289881,2.052080152026292e-05,99.59056135542862
104|0.005046679552108468,2.0515105036977843e-05,99.5934930120854
105|0.005078602953718647,2.05068697471944e-05,99.59621041585504
106|0.005113264794354144,2.0491245280140902e-05,99.59925319528207
107|0.005145637433681127,2.0489124317180085e-05,99.60181562379294
108|0.005179248921196589,2.0478933807410726e-05,99.60459645560579
109|0.005211642877349654,2.0472090369594298e-05,99.60718547200216
110|0.005242598491578043,2.0463403211934406e-05,99.60967060047021
111|0.00527531220794053,2.0453312648882616e-05,99.61228242343466
112|0.005304780296502276,2.0447871870388212e-05,99.61453876074998
113|0.005335891187279618,2.0430963937556612e-05,99.61710306262874
114|0.005368085904710718,2.0424291507836756e-05,99.61952375818142
115|0.005396872483015347,2.041735797497779e-05,99.62168166768376
116|0.005428882154836501,2.0405251143884584e-05,99.62413530885533
117|0.005457834977288911,2.040350475063235e-05,99.6261612006311
118|0.005486353872517835,2.038984681540512e-05,99.62835341486918
119|0.005513949875547208,2.0379155847294328e-05,99.63040730678982
120|0.0055440440378045075,2.0366784955427875e-05,99.63263666708727
121|0.00557279412772127,2.0363259793043653e-05,99.63459515413015
