OneBody2_thetadivide_E-0.05_ecc0.15_EU1.txt
initial value : [x, y, v_x, v_y] = [8.50,0.00,0.00,0.37] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,8.500000,0.000000,0.000000,0.000000
  2|0.000865,8.500000,0.007356,0.000000,0.000005
  3|0.001494,8.499993,0.012697,0.000008,0.000097
  4|0.002122,8.499983,0.018038,0.000019,0.000228
  5|0.002750,8.499970,0.023379,0.000034,0.000399
  6|0.003379,8.499955,0.028719,0.000052,0.000610
  7|0.004007,8.499936,0.034060,0.000073,0.000859
  8|0.004635,8.499914,0.039401,0.000098,0.001149
  9|0.005264,8.499890,0.044741,0.000126,0.001478
 10|0.005892,8.499862,0.050082,0.000157,0.001846
 11|0.006520,8.499832,0.055423,0.000192,0.002254
 12|0.007149,8.499799,0.060763,0.000230,0.002701
 13|0.007777,8.499763,0.066104,0.000271,0.003188
 14|0.008405,8.499723,0.071444,0.000316,0.003714
 15|0.009034,8.499681,0.076785,0.000364,0.004280
 16|0.009662,8.499637,0.082125,0.000415,0.004885
 17|0.010290,8.499589,0.087466,0.000470,0.005530
 18|0.010919,8.499538,0.092806,0.000528,0.006214
 19|0.011547,8.499484,0.098147,0.000590,0.006937
 20|0.012175,8.499428,0.103487,0.000655,0.007700
 21|0.012804,8.499368,0.108828,0.000723,0.008503
 22|0.013432,8.499306,0.114168,0.000794,0.009345
 23|0.014060,8.499240,0.119509,0.000869,0.010226
 24|0.014688,8.499172,0.124849,0.000948,0.011147
 25|0.015317,8.499101,0.130189,0.001029,0.012108
 26|0.015945,8.499027,0.135530,0.001114,0.013108
 27|0.016573,8.498950,0.140870,0.001203,0.014147
 28|0.017202,8.498870,0.146210,0.001294,0.015226
 29|0.017830,8.498787,0.151550,0.001389,0.016344
 30|0.018458,8.498701,0.156890,0.001488,0.017502
 31|0.019087,8.498612,0.162230,0.001589,0.018700
 32|0.019715,8.498521,0.167570,0.001695,0.019936
 33|0.020343,8.498426,0.172910,0.001803,0.021213
 34|0.020972,8.498329,0.178250,0.001915,0.022528
 35|0.021600,8.498228,0.183590,0.002030,0.023883
 36|0.022228,8.498125,0.188930,0.002149,0.025278
 37|0.022857,8.498019,0.194270,0.002271,0.026712
 38|0.023485,8.497910,0.199610,0.002396,0.028186
 39|0.024113,8.497798,0.204949,0.002524,0.029699
 40|0.024742,8.497683,0.210289,0.002656,0.031251
 41|0.025370,8.497565,0.215629,0.002792,0.032843
 42|0.025998,8.497444,0.220968,0.002930,0.034475
 43|0.026627,8.497321,0.226308,0.003073,0.036146
 44|0.027255,8.497194,0.231647,0.003218,0.037856
 45|0.027883,8.497064,0.236987,0.003367,0.039606
 46|0.028512,8.496932,0.242326,0.003519,0.041395
 47|0.029140,8.496796,0.247665,0.003674,0.043224
 48|0.029768,8.496658,0.253004,0.003833,0.045092
 49|0.030396,8.496517,0.258344,0.003995,0.047000
 50|0.031025,8.496373,0.263683,0.004161,0.048947
 51|0.031653,8.496226,0.269022,0.004330,0.050933
 52|0.032281,8.496076,0.274361,0.004502,0.052959
 53|0.032910,8.495923,0.279700,0.004677,0.055025
 54|0.033538,8.495767,0.285038,0.004856,0.057130
 55|0.034166,8.495608,0.290377,0.005039,0.059274
 56|0.034795,8.495447,0.295716,0.005224,0.061458
 57|0.035423,8.495282,0.301054,0.005413,0.063681
 58|0.036051,8.495115,0.306393,0.005606,0.065944
 59|0.036680,8.494944,0.311731,0.005801,0.068247
 60|0.037308,8.494771,0.317070,0.006001,0.070588
 61|0.037936,8.494595,0.322408,0.006203,0.072969
 62|0.038565,8.494416,0.327746,0.006409,0.075390
 63|0.039193,8.494234,0.333085,0.006618,0.077850
 64|0.039821,8.494049,0.338423,0.006830,0.080349
 65|0.040450,8.493861,0.343761,0.007046,0.082888
 66|0.041078,8.493670,0.349098,0.007265,0.085467
 67|0.041706,8.493476,0.354436,0.007488,0.088085
 68|0.042335,8.493280,0.359774,0.007714,0.090742
 69|0.042963,8.493080,0.365112,0.007943,0.093438
 70|0.043591,8.492877,0.370449,0.008176,0.096175
 71|0.044219,8.492672,0.375787,0.008412,0.098950
 72|0.044848,8.492464,0.381124,0.008651,0.101765
 73|0.045476,8.492253,0.386461,0.008894,0.104620
 74|0.046104,8.492038,0.391798,0.009140,0.107514
 75|0.046733,8.491821,0.397136,0.009389,0.110447
 76|0.047361,8.491601,0.402472,0.009642,0.113420
 77|0.047989,8.491378,0.407809,0.009898,0.116432
 78|0.048618,8.491153,0.413146,0.010158,0.119483
 79|0.049246,8.490924,0.418483,0.010420,0.122574
 80|0.049874,8.490692,0.423819,0.010687,0.125705
 81|0.050503,8.490458,0.429156,0.010956,0.128875
 82|0.051131,8.490220,0.434492,0.011229,0.132084
 83|0.051759,8.489980,0.439829,0.011505,0.135333
 84|0.052388,8.489736,0.445165,0.011785,0.138621
 85|0.053016,8.489490,0.450501,0.012068,0.141949
 86|0.053644,8.489241,0.455837,0.012354,0.145316
 87|0.054273,8.488989,0.461172,0.012644,0.148722
 88|0.054901,8.488734,0.466508,0.012937,0.152168
 89|0.055529,8.488476,0.471844,0.013233,0.155653
 90|0.056158,8.488215,0.477179,0.013533,0.159178
 91|0.056786,8.487951,0.482515,0.013836,0.162742
 92|0.057414,8.487685,0.487850,0.014142,0.166346
 93|0.058043,8.487415,0.493185,0.014452,0.169989
 94|0.058671,8.487143,0.498520,0.014765,0.173671
 95|0.059299,8.486867,0.503855,0.015082,0.177393
 96|0.059927,8.486589,0.509190,0.015402,0.181154
 97|0.060556,8.486308,0.514524,0.015725,0.184955
 98|0.061184,8.486024,0.519859,0.016051,0.188795
 99|0.061812,8.485737,0.525193,0.016381,0.192674
100|0.062441,8.485447,0.530527,0.016715,0.196593
101|0.063069,8.485154,0.535862,0.017051,0.200551
102|0.063697,8.484858,0.541196,0.017391,0.204549
103|0.064326,8.484559,0.546529,0.017735,0.208586
104|0.064954,8.484257,0.551863,0.018081,0.212662
105|0.065582,8.483953,0.557197,0.018431,0.216778
106|0.066211,8.483645,0.562530,0.018785,0.220933
107|0.066839,8.483335,0.567864,0.019141,0.225127
108|0.067467,8.483022,0.573197,0.019502,0.229361
109|0.068096,8.482705,0.578530,0.019865,0.233635
110|0.068724,8.482386,0.583863,0.020232,0.237947
111|0.069352,8.482064,0.589196,0.020602,0.242300
112|0.069981,8.481739,0.594528,0.020975,0.246691
113|0.070609,8.481411,0.599861,0.021352,0.251122
114|0.071237,8.481080,0.605193,0.021733,0.255592
115|0.071866,8.480747,0.610525,0.022116,0.260102
116|0.072494,8.480410,0.615857,0.022503,0.264651
117|0.073122,8.480070,0.621189,0.022893,0.269239
118|0.073751,8.479728,0.626521,0.023287,0.273867
119|0.074379,8.479383,0.631852,0.023684,0.278534
120|0.075007,8.479034,0.637184,0.024084,0.283240
121|0.075635,8.478683,0.642515,0.024488,0.287986
122|0.076264,8.478329,0.647846,0.024895,0.292771
123|0.076892,8.477972,0.653177,0.025305,0.297596
124|0.077520,8.477612,0.658508,0.025719,0.302460
125|0.078149,8.477249,0.663839,0.026136,0.307363
126|0.078777,8.476883,0.669169,0.026557,0.312306
127|0.079405,8.476514,0.674499,0.026981,0.317288
128|0.080034,8.476143,0.679830,0.027408,0.322309
129|0.080662,8.475768,0.685159,0.027838,0.327370
130|0.081290,8.475391,0.690489,0.028272,0.332470
131|0.081919,8.475010,0.695819,0.028709,0.337609
132|0.082547,8.474627,0.701148,0.029150,0.342788
133|0.083175,8.474241,0.706478,0.029594,0.348006
134|0.083804,8.473852,0.711807,0.030041,0.353264
135|0.084432,8.473460,0.717136,0.030492,0.358560
136|0.085060,8.473065,0.722465,0.030946,0.363896
137|0.085689,8.472667,0.727793,0.031403,0.369272
138|0.086317,8.472266,0.733122,0.031864,0.374687
139|0.086945,8.471862,0.738450,0.032328,0.380141
140|0.087574,8.471455,0.743778,0.032795,0.385634
141|0.088202,8.471046,0.749106,0.033266,0.391167
142|0.088830,8.470633,0.754434,0.033740,0.396739
143|0.089459,8.470218,0.759761,0.034218,0.402350
144|0.090087,8.469800,0.765089,0.034698,0.408001
145|0.090715,8.469379,0.770416,0.035183,0.413691
146|0.091344,8.468954,0.775743,0.035670,0.419420
147|0.091972,8.468527,0.781069,0.036161,0.425189
148|0.092600,8.468097,0.786396,0.036655,0.430997
149|0.093228,8.467665,0.791722,0.037153,0.436844
150|0.093857,8.467229,0.797049,0.037654,0.442731
151|0.094485,8.466790,0.802375,0.038158,0.448656
152|0.095113,8.466348,0.807701,0.038666,0.454622
153|0.095742,8.465904,0.813026,0.039177,0.460626
154|0.096370,8.465457,0.818352,0.039691,0.466670
155|0.096998,8.465006,0.823677,0.040209,0.472753
156|0.097627,8.464553,0.829002,0.040730,0.478875
157|0.098255,8.464097,0.834327,0.041254,0.485037
158|0.098883,8.463638,0.839651,0.041782,0.491238
159|0.099512,8.463176,0.844976,0.042313,0.497478
160|0.100140,8.462711,0.850300,0.042847,0.503757
161|0.100768,8.462243,0.855624,0.043385,0.510076
162|0.101397,8.461772,0.860948,0.043926,0.516434
163|0.102025,8.461298,0.866271,0.044471,0.522831
164|0.102653,8.460822,0.871595,0.045019,0.529268
165|0.103282,8.460342,0.876918,0.045570,0.535744
166|0.103910,8.459860,0.882241,0.046124,0.542259
167|0.104538,8.459374,0.887564,0.046682,0.548813
168|0.105167,8.458886,0.892886,0.047244,0.555407
169|0.105795,8.458395,0.898208,0.047808,0.562040
170|0.106423,8.457901,0.903531,0.048376,0.568712
171|0.107052,8.457404,0.908852,0.048948,0.575423
172|0.107680,8.456904,0.914174,0.049522,0.582174
173|0.108308,8.456401,0.919496,0.050100,0.588964
174|0.108936,8.455896,0.924817,0.050682,0.595793
175|0.109565,8.455387,0.930138,0.051266,0.602661
176|0.110193,8.454875,0.935458,0.051854,0.609569
177|0.110821,8.454361,0.940779,0.052446,0.616516
178|0.111450,8.453843,0.946099,0.053041,0.623502
179|0.112078,8.453323,0.951419,0.053639,0.630527
180|0.112706,8.452800,0.956739,0.054240,0.637592
181|0.113335,8.452274,0.962059,0.054845,0.644696
