OneBody4_E-0.10_plotinterval0.100_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [45.00,0.00,0.00,0.45] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,45.000000,0.000000|0.002222,44.999889,0.100000,0.000111,0.000247,0.223607|0.002222,44.999889,0.100000,0.000111,0.000247,0.223607
  2|0.020010,44.990991,0.900396|0.022232,44.990658,1.000394,0.009342,0.020760,0.223607|0.022232,44.990658,1.000394,0.009342,0.020760,0.223607
  3|0.040020,44.963968,1.800432|0.042241,44.963413,1.900424,0.036587,0.081305,0.223607|0.042241,44.963413,1.900423,0.036587,0.081305,0.223607
  4|0.060030,44.918942,2.699747|0.062249,44.918165,2.799730,0.081835,0.181856,0.223607|0.062249,44.918165,2.799726,0.081835,0.181856,0.223607
  5|0.080041,44.855931,3.597981|0.082256,44.854932,3.697951,0.145068,0.322373,0.223607|0.082256,44.854932,3.697945,0.145068,0.322374,0.223607
  6|0.100051,44.774960,4.494775|0.102263,44.773739,4.594728,0.226261,0.502801,0.223607|0.102263,44.773739,4.594718,0.226261,0.502801,0.223607
  7|0.120061,44.676061,5.389769|0.122269,44.674620,5.489701,0.325380,0.723067,0.223607|0.122269,44.674620,5.489687,0.325380,0.723067,0.223607
  8|0.140071,44.559274,6.282604|0.142274,44.557613,6.382513,0.442387,0.983082,0.223607|0.142274,44.557613,6.382494,0.442387,0.983083,0.223607
  9|0.160081,44.424646,7.172925|0.162278,44.422766,7.272806,0.577234,1.282743,0.223607|0.162278,44.422765,7.272781,0.577235,1.282745,0.223607
 10|0.180091,44.272230,8.060373|0.182282,44.270132,8.160223,0.729868,1.621930,0.223607|0.182281,44.270131,8.160191,0.729869,1.621932,0.223607
 11|0.200101,44.102089,8.944594|0.202285,44.099772,9.044409,0.900228,2.000506,0.223607|0.202284,44.099771,9.044370,0.900229,2.000509,0.223607
 12|0.220112,43.914289,9.825233|0.222287,43.911756,9.925011,1.088244,2.418320,0.223607|0.222286,43.911754,9.924963,1.088246,2.418324,0.223607
 13|0.240122,43.708906,10.701939|0.242288,43.706158,10.801675,1.293842,2.875205,0.223607|0.242287,43.706155,10.801618,1.293845,2.875211,0.223607
 14|0.260132,43.486023,11.574360|0.262289,43.483060,11.674050,1.516940,3.370979,0.223607|0.262287,43.483057,11.673983,1.516943,3.370985,0.223607
 15|0.280142,43.245728,12.442146|0.282288,43.242552,12.541788,1.757448,3.905441,0.223607|0.282287,43.242548,12.541710,1.757452,3.905449,0.223607
 16|0.300152,42.988118,13.304951|0.302287,42.984730,13.404540,2.015270,4.478379,0.223607|0.302285,42.984725,13.404451,2.015275,4.478389,0.223607
 17|0.320162,42.713296,14.162428|0.322286,42.709697,14.261962,2.290303,5.089562,0.223607|0.322284,42.709691,14.261860,2.290309,5.089575,0.223607
 18|0.340172,42.421371,15.014235|0.342283,42.417564,15.113710,2.582436,5.738747,0.223607|0.342281,42.417557,15.113595,2.582443,5.738762,0.223607
 19|0.360183,42.112462,15.860030|0.362280,42.108447,15.959443,2.891553,6.425673,0.223607|0.362277,42.108439,15.959314,2.891561,6.425692,0.223607
 20|0.380193,41.786691,16.699475|0.382276,41.782470,16.798823,3.217530,7.150066,0.223607|0.382273,41.782461,16.798678,3.217539,7.150087,0.223607
 21|0.400203,41.444189,17.532234|0.402271,41.439765,17.631513,3.560235,7.911634,0.223607|0.402268,41.439753,17.631352,3.560247,7.911659,0.223607
 22|0.420213,41.085092,18.357973|0.422266,41.080467,18.457180,3.919533,8.710074,0.223607|0.422263,41.080454,18.457003,3.919546,8.710103,0.223607
 23|0.440223,40.709546,19.176362|0.442260,40.704721,19.275493,4.295279,9.545065,0.223607|0.442256,40.704706,19.275298,4.295294,9.545098,0.223607
 24|0.460233,40.317700,19.987072|0.462253,40.312677,20.086125,4.687323,10.416273,0.223607|0.462249,40.312660,20.085912,4.687340,10.416311,0.223607
 25|0.480243,39.909711,20.789780|0.482246,39.904493,20.888752,5.095507,11.323350,0.223607|0.482241,39.904473,20.888519,5.095527,11.323393,0.223607
 26|0.500254,39.485743,21.584164|0.502238,39.480331,21.683051,5.519669,12.265932,0.223607|0.502233,39.480309,21.682798,5.519691,12.265980,0.223607
 27|0.520264,39.045964,22.369905|0.522229,39.040361,22.468705,5.959639,13.243641,0.223607|0.522224,39.040337,22.468431,5.959663,13.243696,0.223607
 28|0.540274,38.590552,23.146690|0.542219,38.584761,23.245400,6.415239,14.256087,0.223607|0.542214,38.584734,23.245103,6.415266,14.256148,0.223607
 29|0.560284,38.119689,23.914207|0.562209,38.113711,24.012824,6.886289,15.302864,0.223607|0.562203,38.113681,24.012504,6.886319,15.302931,0.223607
 30|0.580294,37.633563,24.672149|0.582198,37.627401,24.770670,7.372599,16.383552,0.223607|0.582192,37.627368,24.770326,7.372632,16.383626,0.223607
 31|0.600304,37.132368,25.420213|0.602187,37.126026,25.518634,7.873974,17.497720,0.223607|0.602180,37.125989,25.518266,7.874011,17.497801,0.223607
 32|0.620314,36.616306,26.158098|0.622174,36.609786,26.256418,8.390214,18.644920,0.223607|0.622168,36.609746,26.256024,8.390254,18.645010,0.223607
 33|0.640325,36.085584,26.885510|0.642162,36.078887,26.983726,8.921113,19.824695,0.223607|0.642155,36.078844,26.983305,8.921156,19.824792,0.223607
 34|0.660335,35.540412,27.602157|0.662148,35.533543,27.700266,9.466457,21.036570,0.223607|0.662141,35.533496,27.699818,9.466504,21.036676,0.223607
 35|0.680345,34.981011,28.307753|0.682134,34.973972,28.405752,10.026028,22.280062,0.223607|0.682126,34.973921,28.405275,10.026079,22.280176,0.223607
 36|0.700355,34.407603,29.002014|0.702119,34.400398,29.099902,10.599602,23.554672,0.223607|0.702111,34.400342,29.099395,10.599658,23.554795,0.223607
 37|0.720365,33.820419,29.684663|0.722104,33.813050,29.782436,11.186950,24.859889,0.223607|0.722096,33.812990,29.781899,11.187010,24.860022,0.223607
 38|0.740375,33.219694,30.355427|0.742088,33.212164,30.453083,11.787836,26.195192,0.223607|0.742080,33.212099,30.452514,11.787901,26.195335,0.223607
 39|0.760385,32.605668,31.014036|0.762071,32.597979,31.111574,12.402021,27.560046,0.223607|0.762063,32.597911,31.110972,12.402089,27.560198,0.223607
 40|0.780396,31.978586,31.660228|0.782054,31.970744,31.757644,13.029256,28.953903,0.223607|0.782045,31.970670,31.757009,13.029330,28.954066,0.223607
 41|0.800406,31.338701,32.293743|0.802037,31.330707,32.391036,13.669293,30.376207,0.223607|0.802028,31.330629,32.390367,13.669371,30.376380,0.223607
 42|0.820416,30.686267,32.914328|0.822018,30.678126,33.011496,14.321874,31.826388,0.223607|0.822009,30.678043,33.010791,14.321957,31.826571,0.223607
 43|0.840426,30.021548,33.521734|0.842000,30.013261,33.618775,14.986739,33.303864,0.223607|0.841990,30.013174,33.618033,14.986826,33.304059,0.223607
 44|0.860436,29.344807,34.115719|0.861980,29.336380,34.212630,15.663620,34.808045,0.223607|0.861971,29.336287,34.211851,15.663713,34.808251,0.223607
 45|0.880446,28.656318,34.696044|0.881960,28.647752,34.792824,16.352248,36.338328,0.223607|0.881950,28.647655,34.792006,16.352345,36.338545,0.223607
 46|0.900456,27.956354,35.262476|0.901940,27.947655,35.359124,17.052345,37.894101,0.223607|0.901930,27.947552,35.358266,17.052448,37.894329,0.223607
 47|0.920467,27.245197,35.814790|0.921919,27.236367,35.911303,17.763633,39.474740,0.223607|0.921909,27.236259,35.910405,17.763741,39.474980,0.223607
 48|0.940477,26.523132,36.352764|0.941898,26.514174,36.449140,18.485826,41.079614,0.223607|0.941887,26.514061,36.448201,18.485939,41.079865,0.223607
 49|0.960487,25.790446,36.876183|0.961876,25.781365,36.972421,19.218635,42.708078,0.223607|0.961865,25.781247,36.971439,19.218753,42.708341,0.223607
 50|0.980497,25.047435,37.384837|0.981853,25.038233,37.480935,19.961767,44.359482,0.223607|0.981843,25.038110,37.479909,19.961890,44.359756,0.223607
 51|1.000507,24.294394,37.878522|1.001831,24.285076,37.974479,20.714924,46.033164,0.223607|1.001820,24.284948,37.973409,20.715052,46.033449,0.223607
 52|1.020517,23.531627,38.357040|1.021807,23.522196,38.452855,21.477804,47.728454,0.223607|1.021797,23.522062,38.451739,21.477938,47.728750,0.223607
 53|1.040528,22.759437,38.820201|1.041783,22.749897,38.915873,22.250103,49.444673,0.223607|1.041773,22.749759,38.914710,22.250241,49.444981,0.223607
 54|1.060538,21.978135,39.267819|1.061759,21.968490,39.363345,23.031510,51.181134,0.223607|1.061749,21.968346,39.362135,23.031654,51.181453,0.223607
 55|1.080548,21.188032,39.699714|1.081735,21.178286,39.795094,23.821714,52.937142,0.223607|1.081725,21.178138,39.793835,23.821862,52.937472,0.223607
 56|1.100558,20.389447,40.115713|1.101710,20.379603,40.210947,24.620397,54.711994,0.223607|1.101700,20.379450,40.209638,24.620550,54.712334,0.223607
 57|1.120568,19.582697,40.515651|1.121684,19.572759,40.610736,25.427241,56.504979,0.223607|1.121674,19.572602,40.609377,25.427398,56.505330,0.223607
 58|1.140578,18.768107,40.899366|1.141659,18.758079,40.994303,26.241921,58.315380,0.223607|1.141649,18.757917,40.992891,26.242083,58.315740,0.223607
 59|1.160588,17.946002,41.266706|1.161633,17.935888,41.361492,27.064112,60.142471,0.223607|1.161623,17.935722,41.360028,27.064278,60.142841,0.223607
 60|1.180599,17.116712,41.617523|1.181606,17.106516,41.712158,27.893484,61.985521,0.223607|1.181597,17.106345,41.710641,27.893655,61.985900,0.223607
 61|1.200609,16.280568,41.951676|1.201579,16.270294,42.046160,28.729706,63.843792,0.223607|1.201570,16.270119,42.044588,28.729881,63.844180,0.223607
 62|1.220619,15.437905,42.269032|1.221552,15.427557,42.363364,29.572443,65.716540,0.223607|1.221544,15.427378,42.361737,29.572622,65.716937,0.223607
 63|1.240629,14.589062,42.569464|1.241525,14.578643,42.663643,30.421357,67.603016,0.223607|1.241517,14.578461,42.661960,30.421539,67.603420,0.223607
 64|1.260639,13.734377,42.852852|1.261497,13.723891,42.946878,31.276109,69.502464,0.223607|1.261489,13.723706,42.945137,31.276294,69.502875,0.223607
 65|1.280649,12.874193,43.119081|1.281469,12.863644,43.212954,32.136356,71.414124,0.223607|1.281462,12.863457,43.211154,32.136543,71.414541,0.223607
 66|1.300659,12.008854,43.368046|1.301441,11.998247,43.461765,33.001753,73.337229,0.223607|1.301434,11.998057,43.459906,33.001943,73.337652,0.223607
 67|1.320670,11.138707,43.599647|1.321412,11.128045,43.693211,33.871955,75.271011,0.223607|1.321406,11.127853,43.691292,33.872147,75.271439,0.223607
 68|1.340680,10.264100,43.813791|1.341384,10.253387,43.907200,34.746613,77.214696,0.223607|1.341378,10.253193,43.905221,34.746807,77.215127,0.223607
 69|1.360690,9.385383,44.010392|1.361355,9.374623,44.103647,35.625377,79.167504,0.223607|1.361349,9.374428,44.101605,35.625572,79.167938,0.223607
 70|1.380700,8.502909,44.189371|1.381325,8.492106,44.282472,36.507894,81.128654,0.223607|1.381321,8.491910,44.280368,36.508090,81.129090,0.223607
 71|1.400710,7.617030,44.350658|1.401296,7.606188,44.443603,37.393812,83.097360,0.223607|1.401292,7.605991,44.441436,37.394009,83.097798,0.223607
 72|1.420720,6.728101,44.494187|1.421266,6.717224,44.586977,38.282776,85.072836,0.223607|1.421263,6.717027,44.584746,38.282973,85.073273,0.223607
 73|1.440730,5.836479,44.619900|1.441237,5.825570,44.712537,39.174430,87.054289,0.223607|1.441234,5.825373,44.710240,39.174627,87.054726,0.223607
 74|1.460741,4.942519,44.727749|1.461207,4.931583,44.820230,40.068417,89.040927,0.223607|1.461205,4.931387,44.817868,40.068613,89.041361,0.223607
 75|1.480751,4.046581,44.817688|1.481177,4.035621,44.910016,40.964379,91.031954,0.223607|1.481176,4.035427,44.907587,40.964573,91.032385,0.223607
 76|1.500761,3.149022,44.889683|1.501147,3.138042,44.981857,41.861958,93.026572,0.223607|1.501147,3.137851,44.979361,41.862149,93.026999,0.223607
