OneBody4_E-0.05_plotinterval0.050_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [90.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,90.000000,0.000000|0.000556,89.999986,0.050000,0.000014,0.000015,0.158114|0.000556,89.999986,0.050000,0.000014,0.000015,0.158114
  2|0.020010,89.981982,1.800793|0.020566,89.981941,1.850793,0.018059,0.020066,0.158114|0.020566,89.981941,1.850793,0.018059,0.020066,0.158114
  3|0.040020,89.927937,3.600865|0.040575,89.927867,3.650864,0.072133,0.080148,0.158114|0.040575,89.927867,3.650863,0.072133,0.080148,0.158114
  4|0.060030,89.837884,5.399495|0.060585,89.837787,5.449492,0.162213,0.180237,0.158114|0.060585,89.837787,5.449492,0.162213,0.180237,0.158114
  5|0.080041,89.711862,7.195963|0.080594,89.711737,7.245959,0.288263,0.320292,0.158114|0.080594,89.711737,7.245958,0.288263,0.320292,0.158114
  6|0.100051,89.549919,8.989550|0.100604,89.549766,9.039543,0.450234,0.500259,0.158114|0.100604,89.549766,9.039543,0.450234,0.500259,0.158114
  7|0.120061,89.352121,10.779537|0.120613,89.351941,10.829528,0.648059,0.720065,0.158114|0.120613,89.351941,10.829527,0.648059,0.720065,0.158114
  8|0.140071,89.118548,12.565209|0.140621,89.118340,12.615196,0.881660,0.979622,0.158114|0.140621,89.118340,12.615195,0.881660,0.979622,0.158114
  9|0.160081,88.849292,14.345849|0.160630,88.849056,14.395833,1.150944,1.278826,0.158114|0.160630,88.849056,14.395831,1.150944,1.278826,0.158114
 10|0.180091,88.544461,16.120746|0.180638,88.544198,16.170725,1.455802,1.617557,0.158114|0.180638,88.544198,16.170723,1.455802,1.617557,0.158114
 11|0.200101,88.204178,17.889188|0.200646,88.203888,17.939162,1.796112,1.995680,0.158114|0.200646,88.203888,17.939160,1.796112,1.995680,0.158114
 12|0.220112,87.828578,19.650467|0.220654,87.828261,19.700436,2.171739,2.413043,0.158114|0.220654,87.828261,19.700433,2.171739,2.413043,0.158114
 13|0.240122,87.417813,21.403878|0.240662,87.417469,21.453842,2.582531,2.869479,0.158114|0.240662,87.417469,21.453838,2.582531,2.869479,0.158114
 14|0.260132,86.972046,23.148719|0.260669,86.971675,23.198677,3.028325,3.364805,0.158114|0.260669,86.971675,23.198673,3.028325,3.364805,0.158114
