unnorm_init[1.00,0.00,0.00,3.00]_dt0.01000_m[ 9, 1].txt
Eccentricity : 0.000000 

Error of arcl_geod | mean = 0.365877, max = 0.989204, min = 0.000233
Error of newtonian | mean = 0.365877, max = 0.989204, min = 0.000233

   ||arc domain geodesic ||     newtonian
num||degree   | error    || degree   | error    
  1||0.000000 | 0.000000 || 0.000000 | 0.000000 
  2||0.030000 | 0.000450 || 0.030000 | 0.000450 
  3||0.060000 | 0.001799 || 0.060000 | 0.001799 
  4||0.090000 | 0.004047 || 0.090000 | 0.004047 
  5||0.120000 | 0.007191 || 0.120000 | 0.007191 
  6||0.150000 | 0.011229 || 0.150000 | 0.011229 
  7||0.180000 | 0.016156 || 0.180000 | 0.016156 
  8||0.210000 | 0.021969 || 0.210000 | 0.021969 
  9||0.240000 | 0.028662 || 0.240000 | 0.028662 
 10||0.270000 | 0.036229 || 0.270000 | 0.036229 
 11||0.300000 | 0.044664 || 0.300000 | 0.044664 
 12||0.330000 | 0.053958 || 0.330000 | 0.053958 
 13||0.360000 | 0.064103 || 0.360000 | 0.064103 
 14||0.390000 | 0.075091 || 0.390000 | 0.075091 
 15||0.420000 | 0.086911 || 0.420000 | 0.086911 
 16||0.450000 | 0.099553 || 0.450000 | 0.099553 
 17||0.480000 | 0.113005 || 0.480000 | 0.113005 
 18||0.510000 | 0.127255 || 0.510000 | 0.127255 
 19||0.540000 | 0.142291 || 0.540000 | 0.142291 
 20||0.570000 | 0.158099 || 0.570000 | 0.158099 
 21||0.600000 | 0.174664 || 0.600000 | 0.174664 
 22||0.630000 | 0.191972 || 0.630000 | 0.191972 
 23||0.660000 | 0.210008 || 0.660000 | 0.210008 
 24||0.690000 | 0.228754 || 0.690000 | 0.228754 
 25||0.720000 | 0.248194 || 0.720000 | 0.248194 
 26||0.750000 | 0.268311 || 0.750000 | 0.268311 
 27||0.780000 | 0.289086 || 0.780000 | 0.289086 
 28||0.810000 | 0.310502 || 0.810000 | 0.310502 
 29||0.840000 | 0.332537 || 0.840000 | 0.332537 
 30||0.870000 | 0.355173 || 0.870000 | 0.355173 
 31||0.900000 | 0.378390 || 0.900000 | 0.378390 
 32||0.930000 | 0.402166 || 0.930000 | 0.402166 
 33||0.960000 | 0.426480 || 0.960000 | 0.426480 
 34||0.990000 | 0.451310 || 0.990000 | 0.451310 
 35||1.020000 | 0.476634 || 1.020000 | 0.476634 
 36||1.050000 | 0.502429 || 1.050000 | 0.502429 
 37||1.080000 | 0.528672 || 1.080000 | 0.528672 
 38||1.110000 | 0.555338 || 1.110000 | 0.555338 
 39||1.140000 | 0.582405 || 1.140000 | 0.582405 
 40||1.170000 | 0.609848 || 1.170000 | 0.609848 
 41||1.200000 | 0.637642 || 1.200000 | 0.637642 
 42||1.230000 | 0.665762 || 1.230000 | 0.665762 
 43||1.260000 | 0.694183 || 1.260000 | 0.694183 
 44||1.290000 | 0.722879 || 1.290000 | 0.722879 
 45||1.320000 | 0.751824 || 1.320000 | 0.751825 
 46||1.350000 | 0.780993 || 1.350000 | 0.780993 
 47||1.380000 | 0.810359 || 1.380000 | 0.810359 
 48||1.410000 | 0.839896 || 1.410000 | 0.839896 
 49||1.440000 | 0.869576 || 1.440000 | 0.869576 
 50||1.470000 | 0.899374 || 1.470000 | 0.899374 
 51||1.500000 | 0.929263 || 1.500000 | 0.929263 
 52||1.530000 | 0.959215 || 1.530000 | 0.959215 
 53||1.560000 | 0.989204 || 1.560000 | 0.989204 
