unnorm_init[1.50,0.00,0.00,3.00]_dt0.01000_m[ 9, 1].txt
Eccentricity : 0.500000 

Error of arcl_geod | mean = NaN, max = 2.199121, min = 0.000300
Error of newtonian | mean = 0.764459, max = 2.243799, min = 0.000000

   ||arc domain geodesic ||     newtonian
num||degree   | error    || degree   | error    
  1||0.000000 | 0.000000 || 0.000000 | 0.000000 
  2||0.020002 | 0.000300 || 0.019999 | 0.000300 
  3||0.040014 | 0.001201 || 0.039993 | 0.001200 
  4||0.060048 | 0.002705 || 0.059976 | 0.002699 
  5||0.080114 | 0.004816 || 0.079943 | 0.004796 
  6||0.100223 | 0.007540 || 0.099889 | 0.007490 
  7||0.120386 | 0.010883 || 0.119809 | 0.010778 
  8||0.140614 | 0.014854 || 0.139696 | 0.014660 
  9||0.160919 | 0.019463 || 0.159548 | 0.019132 
 10||0.181313 | 0.024723 || 0.179357 | 0.024191 
 11||0.201806 | 0.030648 || 0.199119 | 0.029835 
 12||0.222412 | 0.037254 || 0.218830 | 0.036058 
 13||0.243143 | 0.044558 || 0.238484 | 0.042859 
 14||0.264012 | 0.052581 || 0.258077 | 0.050231 
 15||0.285033 | 0.061347 || 0.277605 | 0.058170 
 16||0.306220 | 0.070879 || 0.297061 | 0.066672 
 17||0.327588 | 0.081208 || 0.316444 | 0.075731 
 18||0.349151 | 0.092362 || 0.335747 | 0.085342 
 19||0.370926 | 0.104378 || 0.354967 | 0.095498 
 20||0.392931 | 0.117293 || 0.374100 | 0.106193 
 21||0.415182 | 0.131149 || 0.393143 | 0.117422 
 22||0.437698 | 0.145993 || 0.412091 | 0.129176 
 23||0.460500 | 0.161875 || 0.430940 | 0.141451 
 24||0.483609 | 0.178853 || 0.449689 | 0.154238 
 25||0.507046 | 0.196988 || 0.468332 | 0.167529 
 26||0.530837 | 0.216349 || 0.486868 | 0.181319 
 27||0.555007 | 0.237014 || 0.505293 | 0.195599 
 28||0.579583 | 0.259066 || 0.523604 | 0.210360 
 29||0.604596 | 0.282601 || 0.541799 | 0.225596 
 30||0.630076 | 0.307721 || 0.559875 | 0.241298 
 31||0.656058 | 0.334546 || 0.577830 | 0.257458 
 32||0.682580 | 0.363204 || 0.595662 | 0.274068 
 33||0.709683 | 0.393842 || 0.613369 | 0.291119 
 34||0.737409 | 0.426624 || 0.630948 | 0.308603 
 35||0.765809 | 0.461736 || 0.648399 | 0.326511 
 36||0.794933 | 0.499384 || 0.665719 | 0.344834 
 37||0.824841 | 0.539807 || 0.682907 | 0.363565 
 38||0.855595 | 0.583273 || 0.699962 | 0.382695 
 39||0.887267 | 0.630088 || 0.716882 | 0.402214 
 40||0.919933 | 0.680604 || 0.733667 | 0.422114 
 41||0.953680 | 0.735225 || 0.750315 | 0.442387 
 42||0.988604 | 0.794416 || 0.766826 | 0.463023 
 43||1.024813 | 0.858719 || 0.783200 | 0.484015 
 44||1.062425 | 0.928761 || 0.799434 | 0.505353 
 45||1.101575 | 1.005280 || 0.815530 | 0.527030 
 46||1.142415 | 1.089139 || 0.831487 | 0.549036 
 47||1.185114 | 1.181360 || 0.847304 | 0.571363 
 48||1.229863 | 1.283153 || 0.862981 | 0.594003 
 49||1.276879 | 1.395960 || 0.878519 | 0.616947 
 50||1.326406 | 1.521503 || 0.893917 | 0.640188 
 51||1.378717 | 1.661850 || 0.909176 | 0.663717 
 52||1.434120 | 1.819483 || 0.924296 | 0.687525 
