unnorm_init[10.00,0.00,0.00,3.00]_dt0.01000_m[90, 1].txt
Eccentricity : 0.000000 

Error of arcl_geod | mean = 3.634486, max = 9.987963, min = 0.000002
Error of newtonian | mean = 3.634486, max = 9.987963, min = 0.000002

   ||arc domain geodesic ||     newtonian
num||degree   | error    || degree   | error    
  1||0.000000 | 0.000000 || 0.000000 | 0.000000 
  2||0.003000 | 0.000045 || 0.003000 | 0.000045 
  3||0.006000 | 0.000180 || 0.006000 | 0.000180 
  4||0.009000 | 0.000405 || 0.009000 | 0.000405 
  5||0.012000 | 0.000720 || 0.012000 | 0.000720 
  6||0.015000 | 0.001125 || 0.015000 | 0.001125 
  7||0.018000 | 0.001620 || 0.018000 | 0.001620 
  8||0.021000 | 0.002205 || 0.021000 | 0.002205 
  9||0.024000 | 0.002880 || 0.024000 | 0.002880 
 10||0.027000 | 0.003645 || 0.027000 | 0.003645 
 11||0.030000 | 0.004500 || 0.030000 | 0.004500 
 12||0.033000 | 0.005445 || 0.033000 | 0.005445 
 13||0.036000 | 0.006479 || 0.036000 | 0.006479 
 14||0.039000 | 0.007604 || 0.039000 | 0.007604 
 15||0.042000 | 0.008819 || 0.042000 | 0.008819 
 16||0.045000 | 0.010123 || 0.045000 | 0.010123 
 17||0.048000 | 0.011518 || 0.048000 | 0.011518 
 18||0.051000 | 0.013002 || 0.051000 | 0.013002 
 19||0.054000 | 0.014576 || 0.054000 | 0.014576 
 20||0.057000 | 0.016241 || 0.057000 | 0.016241 
 21||0.060000 | 0.017995 || 0.060000 | 0.017995 
 22||0.063000 | 0.019838 || 0.063000 | 0.019838 
 23||0.066000 | 0.021772 || 0.066000 | 0.021772 
 24||0.069000 | 0.023796 || 0.069000 | 0.023796 
 25||0.072000 | 0.025909 || 0.072000 | 0.025909 
 26||0.075000 | 0.028112 || 0.075000 | 0.028112 
 27||0.078000 | 0.030405 || 0.078000 | 0.030405 
 28||0.081000 | 0.032787 || 0.081000 | 0.032787 
 29||0.084000 | 0.035259 || 0.084000 | 0.035259 
 30||0.087000 | 0.037821 || 0.087000 | 0.037821 
 31||0.090000 | 0.040473 || 0.090000 | 0.040473 
 32||0.093000 | 0.043214 || 0.093000 | 0.043214 
 33||0.096000 | 0.046045 || 0.096000 | 0.046045 
 34||0.099000 | 0.048965 || 0.099000 | 0.048965 
 35||0.102000 | 0.051975 || 0.102000 | 0.051975 
 36||0.105000 | 0.055074 || 0.105000 | 0.055074 
 37||0.108000 | 0.058263 || 0.108000 | 0.058263 
 38||0.111000 | 0.061542 || 0.111000 | 0.061542 
 39||0.114000 | 0.064910 || 0.114000 | 0.064910 
 40||0.117000 | 0.068367 || 0.117000 | 0.068367 
 41||0.120000 | 0.071914 || 0.120000 | 0.071914 
 42||0.123000 | 0.075550 || 0.123000 | 0.075550 
 43||0.126000 | 0.079275 || 0.126000 | 0.079275 
 44||0.129000 | 0.083090 || 0.129000 | 0.083090 
 45||0.132000 | 0.086994 || 0.132000 | 0.086994 
 46||0.135000 | 0.090987 || 0.135000 | 0.090987 
 47||0.138000 | 0.095069 || 0.138000 | 0.095069 
 48||0.141000 | 0.099240 || 0.141000 | 0.099240 
 49||0.144000 | 0.103501 || 0.144000 | 0.103501 
 50||0.147000 | 0.107851 || 0.147000 | 0.107851 
 51||0.150000 | 0.112289 || 0.150000 | 0.112289 
 52||0.153000 | 0.116817 || 0.153000 | 0.116817 
 53||0.156000 | 0.121433 || 0.156000 | 0.121433 
 54||0.159000 | 0.126139 || 0.159000 | 0.126139 
 55||0.162000 | 0.130933 || 0.162000 | 0.130933 
 56||0.165000 | 0.135816 || 0.165000 | 0.135816 
 57||0.168000 | 0.140788 || 0.168000 | 0.140788 
 58||0.171000 | 0.145849 || 0.171000 | 0.145849 
 59||0.174000 | 0.150998 || 0.174000 | 0.150998 
 60||0.177000 | 0.156236 || 0.177000 | 0.156236 
 61||0.180000 | 0.161563 || 0.180000 | 0.161563 
 62||0.183000 | 0.166978 || 0.183000 | 0.166978 
 63||0.186000 | 0.172482 || 0.186000 | 0.172482 
 64||0.189000 | 0.178074 || 0.189000 | 0.178074 
 65||0.192000 | 0.183754 || 0.192000 | 0.183754 
 66||0.195000 | 0.189523 || 0.195000 | 0.189523 
 67||0.198000 | 0.195380 || 0.198000 | 0.195380 
 68||0.201000 | 0.201326 || 0.201000 | 0.201326 
 69||0.204000 | 0.207359 || 0.204000 | 0.207359 
 70||0.207000 | 0.213481 || 0.207000 | 0.213481 
 71||0.210000 | 0.219691 || 0.210000 | 0.219691 
 72||0.213000 | 0.225989 || 0.213000 | 0.225989 
 73||0.216000 | 0.232374 || 0.216000 | 0.232374 
 74||0.219000 | 0.238848 || 0.219000 | 0.238848 
 75||0.222000 | 0.245410 || 0.222000 | 0.245410 
 76||0.225000 | 0.252059 || 0.225000 | 0.252059 
 77||0.228000 | 0.258796 || 0.228000 | 0.258796 
 78||0.231000 | 0.265621 || 0.231000 | 0.265621 
 79||0.234000 | 0.272533 || 0.234000 | 0.272533 
 80||0.237000 | 0.279533 || 0.237000 | 0.279533 
 81||0.240000 | 0.286620 || 0.240000 | 0.286620 
 82||0.243000 | 0.293795 || 0.243000 | 0.293795 
 83||0.246000 | 0.301057 || 0.246000 | 0.301057 
 84||0.249000 | 0.308407 || 0.249000 | 0.308407 
 85||0.252000 | 0.315843 || 0.252000 | 0.315843 
 86||0.255000 | 0.323367 || 0.255000 | 0.323367 
 87||0.258000 | 0.330978 || 0.258000 | 0.330978 
 88||0.261000 | 0.338676 || 0.261000 | 0.338676 
 89||0.264000 | 0.346461 || 0.264000 | 0.346461 
 90||0.267000 | 0.354332 || 0.267000 | 0.354332 
 91||0.270000 | 0.362291 || 0.270000 | 0.362291 
 92||0.273000 | 0.370336 || 0.273000 | 0.370336 
 93||0.276000 | 0.378468 || 0.276000 | 0.378468 
 94||0.279000 | 0.386687 || 0.279000 | 0.386687 
 95||0.282000 | 0.394992 || 0.282000 | 0.394992 
 96||0.285000 | 0.403383 || 0.285000 | 0.403383 
 97||0.288000 | 0.411861 || 0.288000 | 0.411861 
 98||0.291000 | 0.420426 || 0.291000 | 0.420426 
 99||0.294000 | 0.429076 || 0.294000 | 0.429076 
100||0.297000 | 0.437813 || 0.297000 | 0.437813 
101||0.300000 | 0.446635 || 0.300000 | 0.446635 
102||0.303000 | 0.455544 || 0.303000 | 0.455544 
103||0.306000 | 0.464538 || 0.306000 | 0.464538 
104||0.309000 | 0.473618 || 0.309000 | 0.473618 
105||0.312000 | 0.482785 || 0.312000 | 0.482785 
106||0.315000 | 0.492036 || 0.315000 | 0.492036 
107||0.318000 | 0.501373 || 0.318000 | 0.501373 
108||0.321000 | 0.510796 || 0.321000 | 0.510796 
109||0.324000 | 0.520304 || 0.324000 | 0.520304 
110||0.327000 | 0.529898 || 0.327000 | 0.529898 
111||0.330000 | 0.539577 || 0.330000 | 0.539577 
112||0.333000 | 0.549340 || 0.333000 | 0.549340 
113||0.336000 | 0.559189 || 0.336000 | 0.559189 
114||0.339000 | 0.569123 || 0.339000 | 0.569123 
115||0.342000 | 0.579142 || 0.342000 | 0.579142 
116||0.345000 | 0.589245 || 0.345000 | 0.589245 
117||0.348000 | 0.599434 || 0.348000 | 0.599434 
118||0.351000 | 0.609707 || 0.351000 | 0.609707 
119||0.354000 | 0.620064 || 0.354000 | 0.620064 
120||0.357000 | 0.630506 || 0.357000 | 0.630506 
121||0.360000 | 0.641032 || 0.360000 | 0.641032 
122||0.363000 | 0.651642 || 0.363000 | 0.651642 
123||0.366000 | 0.662337 || 0.366000 | 0.662337 
124||0.369000 | 0.673115 || 0.369000 | 0.673115 
125||0.372000 | 0.683977 || 0.372000 | 0.683977 
126||0.375000 | 0.694924 || 0.375000 | 0.694924 
127||0.378000 | 0.705954 || 0.378000 | 0.705954 
128||0.381000 | 0.717067 || 0.381000 | 0.717067 
129||0.384000 | 0.728265 || 0.384000 | 0.728265 
130||0.387000 | 0.739545 || 0.387000 | 0.739545 
131||0.390000 | 0.750909 || 0.390000 | 0.750909 
132||0.393000 | 0.762357 || 0.393000 | 0.762357 
133||0.396000 | 0.773887 || 0.396000 | 0.773887 
134||0.399000 | 0.785500 || 0.399000 | 0.785500 
135||0.402000 | 0.797197 || 0.402000 | 0.797197 
136||0.405000 | 0.808976 || 0.405000 | 0.808976 
137||0.408000 | 0.820838 || 0.408000 | 0.820838 
138||0.411000 | 0.832782 || 0.411000 | 0.832782 
139||0.414000 | 0.844809 || 0.414000 | 0.844809 
140||0.417000 | 0.856919 || 0.417000 | 0.856919 
141||0.420000 | 0.869111 || 0.420000 | 0.869111 
142||0.423000 | 0.881384 || 0.423000 | 0.881384 
143||0.426000 | 0.893740 || 0.426000 | 0.893740 
144||0.429000 | 0.906178 || 0.429000 | 0.906178 
145||0.432000 | 0.918698 || 0.432000 | 0.918698 
146||0.435000 | 0.931300 || 0.435000 | 0.931300 
147||0.438000 | 0.943983 || 0.438000 | 0.943983 
148||0.441000 | 0.956747 || 0.441000 | 0.956747 
149||0.444000 | 0.969593 || 0.444000 | 0.969593 
150||0.447000 | 0.982521 || 0.447000 | 0.982521 
151||0.450000 | 0.995529 || 0.450000 | 0.995529 
152||0.453000 | 1.008618 || 0.453000 | 1.008618 
153||0.456000 | 1.021789 || 0.456000 | 1.021789 
154||0.459000 | 1.035040 || 0.459000 | 1.035040 
155||0.462000 | 1.048372 || 0.462000 | 1.048372 
156||0.465000 | 1.061784 || 0.465000 | 1.061784 
157||0.468000 | 1.075277 || 0.468000 | 1.075277 
158||0.471000 | 1.088850 || 0.471000 | 1.088850 
159||0.474000 | 1.102504 || 0.474000 | 1.102504 
160||0.477000 | 1.116237 || 0.477000 | 1.116237 
161||0.480000 | 1.130051 || 0.480000 | 1.130051 
162||0.483000 | 1.143944 || 0.483000 | 1.143944 
163||0.486000 | 1.157917 || 0.486000 | 1.157917 
164||0.489000 | 1.171970 || 0.489000 | 1.171970 
165||0.492000 | 1.186102 || 0.492000 | 1.186102 
166||0.495000 | 1.200313 || 0.495000 | 1.200313 
167||0.498000 | 1.214603 || 0.498000 | 1.214603 
168||0.501000 | 1.228973 || 0.501000 | 1.228973 
169||0.504000 | 1.243422 || 0.504000 | 1.243422 
