OneBody2_E-0.05_ecc0.8_EU1.txt
initial value : [x, y, v_x, v_y] = [2.00,0.00,0.00,0.95] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
1|0.0,2.0,0.0,0.0,0.0
2|0.009487,2.0,0.018974,8.999682381327645e-05,0.004499841180943861
3|0.018973,1.99985,0.037947,8.997756645934274e-05,0.0044986083823133766
4|0.028458,1.9996,0.056919,8.991875279207306e-05,0.004495218354377763
5|0.037941,1.99925,0.07589,8.984580747739557e-05,0.004490943093476643
6|0.047422,1.9988,0.094858,8.958661945923652e-05,0.0044771819077165315
7|0.0569,1.99825,0.113824,8.92191993404623e-05,0.004457839551219441
8|0.066375,1.997601,0.132786,9.026898561614871e-05,0.0045091223477861835
9|0.075846,1.996851,0.151744,8.912358367174633e-05,0.004450573208210432
10|0.085312,1.996002,0.170698,8.939689750597779e-05,0.004462708227023064
11|0.094774,1.995053,0.189647,8.889783250554117e-05,0.004436113393213667
12|0.10423,1.994005,0.20859,8.937741462533566e-05,0.004458179820622941
13|0.113679,1.992857,0.227528,8.92784770134547e-05,0.004451206077352547
14|0.123122,1.99161,0.246458,8.945675367044714e-05,0.004457877130599001
15|0.132558,1.990263,0.265381,8.830299775341999e-05,0.0043980203624298594
16|0.141986,1.988818,0.284297,8.940632230514112e-05,0.004450410229170735
17|0.151405,1.987273,0.303204,8.875733279989362e-05,0.00441538892490042
18|0.160816,1.985629,0.322102,8.76518076493582e-05,0.004357541373958785
19|0.170217,1.983887,0.340991,8.811985303713854e-05,0.004377777020011811
20|0.179608,1.982046,0.359869,8.755588915931867e-05,0.004346578961108929
21|0.188989,1.980107,0.378737,8.774693757240826e-05,0.004352711059671051
22|0.198358,1.978069,0.397594,8.695323140317512e-05,0.004309853773695849
23|0.207716,1.975933,0.416439,8.599181798762956e-05,0.004258594120971143
24|0.217062,1.9737,0.435272,8.66090467752656e-05,0.0042853699111333994
25|0.226395,1.971369,0.454092,8.671593753462048e-05,0.0042867035128855225
26|0.235715,1.96894,0.472899,8.600051798079988e-05,0.004247257716762934
27|0.245021,1.966414,0.491692,8.583092911473855e-05,0.004234656405267206
28|0.254313,1.963791,0.510471,8.586558858025839e-05,0.004231985363583857
29|0.263591,1.961071,0.529234,8.483409051907032e-05,0.0041766667475799085
30|0.272853,1.958254,0.547982,8.364684534178934e-05,0.0041136507433795376
31|0.2821,1.955342,0.566714,8.444420687014897e-05,0.004148111141653304
32|0.29133,1.952333,0.58543,8.433498157334185e-05,0.004137853415919824
33|0.300544,1.949228,0.604129,8.368072105069402e-05,0.00410075468227107
34|0.309741,1.946028,0.62281,8.369070540936718e-05,0.004096104992933282
35|0.31892,1.942732,0.641473,8.275486797026943e-05,0.004045081866916066
36|0.328081,1.939341,0.660117,8.158346650999349e-05,0.003982542497504021
37|0.337224,1.935856,0.678742,8.137975815092346e-05,0.003967198521132067
38|0.346347,1.932276,0.697348,8.11354390539698e-05,0.003949774503023264
39|0.355451,1.928602,0.715933,8.03371089705962e-05,0.003905322979919253
40|0.364536,1.924835,0.734498,8.07258076562789e-05,0.003918477156830048
41|0.3736,1.920973,0.753042,7.912549410171721e-05,0.0038350460017638776
42|0.382644,1.917019,0.771564,7.872048632551198e-05,0.0038095747553195452
43|0.391666,1.912972,0.790064,7.86137925965491e-05,0.0037984603412583597
44|0.400667,1.908832,0.808542,7.772254871829531e-05,0.0037493971882761076
45|0.409645,1.9046,0.826996,7.7102931207218e-05,0.0037134422243362236
46|0.418602,1.900277,0.845427,7.719922917859279e-05,0.003711896787335788
47|0.427536,1.895862,0.863834,7.654574628412902e-05,0.0036742359557290624
48|0.436446,1.891356,0.882216,7.620591001344934e-05,0.0036516057158648197
49|0.445333,1.886759,0.900574,7.571004220752187e-05,0.003621463610562339
50|0.454197,1.882072,0.918906,7.46041719872359e-05,0.0035621761920127774
51|0.463036,1.877295,0.937212,7.380270500778607e-05,0.0035174894264623892
52|0.47185,1.872429,0.955491,7.356411152725784e-05,0.0034996247648866378
53|0.480639,1.867473,0.973744,7.261858995377679e-05,0.003448140824486838
54|0.489403,1.862429,0.99197,7.270593816022242e-05,0.003445686408628352
55|0.498142,1.857296,1.010168,7.096237302395281e-05,0.0033565223024970116
56|0.506854,1.852076,1.028338,7.145664765539905e-05,0.00337323885395929
57|0.51554,1.846768,1.04648,7.136609801428051e-05,0.0033622247921355876
58|0.524199,1.841372,1.064592,6.93366959820807e-05,0.003259985496991915
59|0.532832,1.835891,1.082675,6.920439908109088e-05,0.003247070268640923
60|0.541437,1.830323,1.100728,6.836119897668524e-05,0.00320081780017454
61|0.550015,1.824669,1.118751,6.686535499156321e-05,0.0031241623374835804
62|0.558565,1.81893,1.136744,6.650858861467768e-05,0.003100841434812801
63|0.567086,1.813107,1.154705,6.73127470953716e-05,0.003131533043871697
64|0.57558,1.807198,1.172635,6.495771012104967e-05,0.0030153398371534725
65|0.584044,1.801206,1.190533,6.502946121189623e-05,0.003011969171243195
66|0.59248,1.795131,1.208398,6.415904589252008e-05,0.002964979059471873
67|0.600887,1.788972,1.226232,6.323134100849614e-05,0.0029154685638124434
68|0.609264,1.782731,1.244032,6.26603313302887e-05,0.002882504829440636
69|0.617611,1.776408,1.261799,6.28594681950645e-05,0.0028849530971275707
70|0.625929,1.770003,1.279532,6.134203748109357e-05,0.002808704643405698
71|0.634216,1.763518,1.297231,6.228527218343771e-05,0.002845135064172925
72|0.642474,1.756951,1.314895,5.946519029720321e-05,0.0027098122544429435
73|0.6507,1.750305,1.332525,6.04443783061015e-05,0.002747777039786307
74|0.658896,1.743579,1.350119,5.93104033228542e-05,0.0026896475745787417
75|0.667061,1.736773,1.367678,5.76235213363141e-05,0.0026067137433027658
76|0.675195,1.72989,1.385201,5.771882194460787e-05,0.0026045367158094284
77|0.683298,1.722928,1.402688,5.652471881667509e-05,0.002544258568687086
78|0.691369,1.715888,1.420139,5.5954635804322805e-05,0.002512230381828755
79|0.699409,1.708772,1.437552,5.481195536649608e-05,0.002454651799598988
80|0.707416,1.701579,1.454928,5.467766899336368e-05,0.002442344844772058
81|0.715392,1.694309,1.472267,5.278933198349378e-05,0.0023518866645305288
82|0.723336,1.686965,1.489569,5.346913297499256e-05,0.002375953980297125
83|0.731247,1.679545,1.506832,5.2910600679467734e-05,0.002344950427391278
84|0.739127,1.672051,1.524056,5.061637992387347e-05,0.002237326627491731
85|0.746973,1.664483,1.541242,5.08260522105175e-05,0.0022405990536564775
86|0.754787,1.656841,1.558389,4.959151893002556e-05,0.002180300359111358
87|0.762569,1.649127,1.575497,4.874901327278636e-05,0.0021374592423087715
88|0.770317,1.64134,1.592565,4.813019002503083e-05,0.002104578191029629
89|0.778033,1.633481,1.609594,4.701399580753218e-05,0.0020501342120274896
90|0.785715,1.625551,1.626582,4.6455334216766175e-05,0.0020201845253097163
91|0.793365,1.61755,1.64353,4.453760075628921e-05,0.001931412194872319
92|0.800981,1.609479,1.660438,4.4562601569264615e-05,0.0019271008523200027
93|0.808564,1.601339,1.677305,4.477177591999393e-05,0.0019307093415390792
94|0.816114,1.593129,1.694131,4.367505288493945e-05,0.0018780953564297605
95|0.82363,1.584851,1.710915,4.323858973709349e-05,0.001854046954763636
96|0.831113,1.576504,1.727658,4.1795984203396586e-05,0.0017870718908156607
97|0.838562,1.56809,1.744359,4.130477845043501e-05,0.0017610014219843959
98|0.845978,1.559609,1.761018,3.9992686651224574e-05,0.0017001430742270723
99|0.85336,1.551062,1.777635,3.990914041418492e-05,0.0016916741823806444
100|0.860708,1.542449,1.79421,4.0711339136301206e-05,0.0017206529595891423
101|0.868023,1.53377,1.810742,3.947755618449733e-05,0.0016636255523880107
102|0.875305,1.525027,1.827231,3.780717490986518e-05,0.0015885507108456525
103|0.882552,1.516219,1.843677,3.731334780532336e-05,0.00156317394603714
104|0.889766,1.507348,1.86008,3.667517927530284e-05,0.0015318843314984728
105|0.896946,1.498413,1.876439,3.493017239142304e-05,0.0014546541618320637
106|0.904092,1.489416,1.892755,3.4836188424591796e-05,0.0014464050026424017
107|0.911205,1.480357,1.909027,3.339320701600812e-05,0.0013823321542283645
108|0.918283,1.471236,1.925256,3.454693274873577e-05,0.0014257856692807057
109|0.925329,1.462054,1.94144,3.196139378980334e-05,0.0013150904159437015
110|0.93234,1.452812,1.95758,3.2061547082129493e-05,0.0013152105411489902
111|0.939318,1.44351,1.973675,3.0281381651509065e-05,0.0012384048484590645
